Parameter,Unit,Config,Test1,Test2,Band Group
SSB ARFCN,,"1,2,3,4,5,6",Freq1,Freq1,
Duplex Mode,,"1,4",FDD,,
,,"2,3,5,6",TDD,,
TDD configuration,,"1,4",Not Applicable,,
,,"2,5",TDDConf.1.1,,
,,"3,6",TDDConf.2.1,,
BWchannel,MHz,"1,4","10: NRB,c = 52",,
,,"2,5","10: NRB,c = 52",,
,,"3,6","40: NRB,c = 106",,
Initial BWP Configuration,,"1,2,3,4,5,6",DLBWP.0.1ULBWP.0.1,,
Dedicated BWP Configuration,,"1,2,3,4,5,6",DLBWP.1.1ULBWP.1.1,,
DRX Cycle,ms,"1,2,3,4,5,6",N/A,DRX.8Note5,
PDSCH Reference,,"1,4",SR.1.1 FDD,,
measurement channel,,"2,5",SR.1.1 TDD,,
,,"3,6",SR.2.1 TDD,,
RMSI CORESET Reference,,"1,4",CR.1.1 FDD,,
Channel,,"2,5",CR.1.1 TDD,,
,,"3,6",CR.2.1 TDD,,
Dedicated CORESET Reference Channel,,"1,4",CCR.1.1 FDD,,
,,"2,5",CCR.1.1 TDD,,
,,"3,6",CCR.2.1 TDD,,
OCNG Patterns,,"1,2,3,4,5,6",OP.1,,
SSB configuration,,"1,4",SSB.1 FR1,,
,,"2,5",SSB.1 FR1,,
,,"3,6",SSB.2 FR1,,
SMTC configuration,,"1,2,3,4,5,6",SMTC.2,,
TRS configuration,,"1,4",TRS.1.1 FDD,,
,,"2,5",TRS.1.1 TDD,,
,,"3,6",TRS.1.2 TDD,,
PDSCH/PDCCH,kHz,"1,2,4,5",15,,
subcarrier spacing,,"3,6",30,,
EPRE ratio of PSS to SSS,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,dB,"1,2,3,4,5,6",0,0,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,
Note2,dBm/15 kHz,"1,2,3,4,5,6",-98,-98,
Note2,dBm/SCS,"1,2,4,5",-98,-98,
,,"3,6",-95,-95,
,,"1,2,3,4,5,6",3,3,
,,"1,2,3,4,5,6",3,3,
SS-RSRPNote3,dBm/SCS,"1,2,4,5",-95,-95,
,,"3,6",-92,-92,
IoNote3,dBm/9.36 MHz,"1,2,4,5",-65.2,-65.2,
,dBm/38.1 MHz,"3,6",-59.2,-59.2,
Propagation condition,,"1,2,3,4,5,6",AWGN,,
SRS Config,,"1,2,4,5",SRSConf.1Note6,SRSConf.3Note6,
,,"3, 6",SRSConf.1Note6,SRSConf.2Note6,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:DRX related parameters are given in Table A.3.3.8-1NOTE 6:SRS configs are given in Table A.4.4.1.1.1-3,,,,,
