Field,Value,Comment
srsBandwidthConfiguration,bw5,
srsSubframeConfiguration,Sc8,Once every 5 subframes
ackNackSrsSimultaneousTransmission,FALSE,
srsMaxUpPTS,N/A,Not applicable
srsBandwidth,0,No hopping
srsHoppingBandwidth,hbw0,
frequencyDomainPosition,0,
Duration,TRUE,Indefinite duration
Srs-ConfigIndexAp,17,SRS periodicity of 10ms. See Table 8.2-5 in TS 36.213 [39] for aperiodic SRS transmission.
transmissionComb,0,
cyclicShift,cs0,No cyclic shift
SRS-AntennaPort,an1,Number of antenna ports used for SRS transmission
NOTE:For further information see clause 6.3.2 in TS 36.331 [16].,,
