Parameter,Unit,Test Configuration,Test 1,,
,,,T1,T2,T3
Channel number,,"Conf 1, 2, 3, 4, 5, 6, 7, 8, 9",3,,
TDD configuration,,"Conf 1, 4, 7",N/A,,
,,"Conf 2, 5, 8",TDDConf.1.1,,
,,"Conf 3, 6, 9",TDDConf.2.1,,
BWchannel,MHz,"Conf 1, 4, 7",Note 6,,
,,"Conf 2, 5, 8",Note 6,,
,,"Conf 3, 6, 9",Note 6,,
BWoccupied,RB,"Conf 1, 4, 7",52 Note 4,,
,,"Conf 2, 5, 8",52 Note 4,,
,,"Conf 3, 6, 9",106 Note 5,,
PUSCH parameters for NR UL carrier,,"Conf 1, 4, 7",G-FR1-A3-10 in TS 38.104 [13],G-FR1-A3-10 in TS 38.104 [13],G-FR1-A3-10 in TS 38.104 [13]
,,"Conf 2, 5, 8",G-FR1-A3-10 in TS 38.104 [13],G-FR1-A3-10 in TS 38.104 [13],G-FR1-A3-10 in TS 38.104 [13]
,,"Conf 3, 6, 9",G-FR1-A3-14 in TS 38.104 [13],G-FR1-A3-14 in TS 38.104 [13],G-FR1-A3-14 in TS 38.104 [13]
PUCCH parametersFor NR UL carrier,,"Conf 1, 4, 7",Table 8.3.3.1.2-1 in TS 38.104 [13],Table 8.3.3.1.2-1 in TS 38.104 [13],Table 8.3.3.1.2-1 in TS 38.104 [13]
,,"Conf 2, 5, 8",Table 8.3.3.1.2-1 in TS 38.104 [13],Table 8.3.3.1.2-1  in TS 38.104 [13],Table 8.3.3.1.2-1 in TS 38.104 [13]
,,"Conf 3, 6, 9",Table 8.3.3.1.2-2 in TS 38.104 [13],Table 8.3.3.1.2-2 in TS 38.104 [13],Table 8.3.3.1.2-2 in TS 38.104 [13]
PUSCH parameters for supplementary UL,,"Conf 1, 4, 7",N/A,G-FR1-A3-10 in TS 38.104 [13],N/A
,,"Conf 2, 5, 8",N/A,G-FR1-A3-10 in TS 38.104 [13],N/A
,,"Conf 3, 6, 9",N/A,G-FR1-A3-14 in TS 38.104 [13],N/A
PUCCH parameters for supplementary UL,,"Conf 1, 4, 7",N/A,N/A,N/A
,,"Conf 2, 5, 8",N/A,N/A,N/A
,,"Conf 3, 6, 9",N/A,N/A,N/A
PDSCH reference measurement channel,,"Conf 1, 4, 7",SR.1.1 FDD,,
,,"Conf 2, 5, 8",SR.1.1 TDD,,
,,"Conf 3, 6, 9",SR 2.1 TDD,,
RMSI CORESET reference measurement channel,,"Conf 1, 4, 7",CR.1.1 FDD,,
,,"Conf 2, 5, 8",CR.1.1 TDD,,
,,"Conf 3, 6, 9",CR.2.1 TDD,,
RMC CORESET reference measurement channel,,"Conf 1, 4, 7",CCR.1.1 FDD,,
,,"Conf 2, 5, 8",CCR.1.1 TDD,,
,,"Conf 3, 6, 9",CCR.2.1 TDD,,
OCNG Pattern Note 1,,"Conf 1, 2, 4, 5, 7, 8",OP.1 Note 4,,
,,"Conf 3, 6, 9",OP.1 Note 5,,
SSB configuration,,"Conf 1, 2, 4, 5, 7,8",SSB.1 FR1,,
,,"Conf 3, 6, 9",SSB.2 FR1,,
SMTC configuration,,"Conf 1, 2, 3, 4, 5, 6, 7, 8, 9",SMTC.1,,
CSI-RS for tracking,,Conf 1,TRS.1.1 FDD,,
,,Conf 2,TRS.1.1 TDD,,
,,Conf 3,TRS.1.2 TDD,,
,,Conf 4,TRS.1.1 FDD,,
,,Conf 5,TRS.1.1 TDD,,
,,Conf 6,TRS.1.2 TDD,,
,,Conf 7,TRS.1.1 FDD,,
,,Conf 8,TRS.1.1 TDD,,
,,Conf 9,TRS.1.2 TDD,,
DL initial BWP configuration,,"Conf 1, 2, 3, 4, 5, 6, 7, 8, 9",DLBWP.0.1,,
DL dedicated BWP configuration,,"Conf 1, 2, 3, 4, 5, 6, 7, 8, 9",DLBWP.1.1,,
UL dedicated BWP configuration,,"Conf 1, 2, 3, 4, 5, 6, 7, 8, 9",ULBWP.1.1,,
EPRE ratio of PSS to SSS,dB,"Conf 1, 2, 3, 4, 5, 6, 7, 8, 9",0,,
EPRE ratio of PBCH_DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,
Note 2,dBm / 15 kHz,"Conf 1, 2, 3, 4, 5, 6, 7, 8, 9",-102,,
,dBm/SCS,"Conf 1, 2, 4, 5, 7,8",-102,,
,,"Conf 3, 6, 9",-99,,
,dB,"Conf 1, 2, 3, 4, 5, 6, 7, 8, 9",16,16,16
Note 3,dB,"Conf 1, 2, 3, 4, 5, 6, 7, 8, 9",16,16,16
SS-RSRP Note 3,dBm/SCS,"Conf 1, 2, 4, 5, 7,8",-86,-86,-86
,,"Conf 3, 6, 9",-83,-83,-83
Io Note 3,dBm/ 9.36 MHz,"Conf 1, 2, 4, 5, 7,8",-57.9,-57.9,-57.9
