Parameter,Unit,Test,Cell 2,,
,,configuration,T1,T2,
TDD configuration,,1,TDDConf.1.1,,
,,2,TDDConf.2.1,,
PDSCH RMC,,1,SR.1.1 TDD,,
configuration,,2,SR.2.1 TDD,,
RMSI CORESET RMC,,1,CR.1.1 TDD,,
configuration,,2,CR.2.1 TDD,,
Dedicated CORESET,,1,CCR.1.1 TDD,,
RMC configuration,,2,CCR.2.1 TDD,,
OCNG Patterns,,"1, 2",OP.1,,
TRS Configuration,,1,TRS.1.1 TDD,,
,,2,TRS.1.2 TDD,,
Initial BWP configuration,,"1, 2",DLBWP.0.1 ULBWP.0.1,,
Active DL BWP configuration,,"1, 2",DLBWP.1.1,,
Active UL BWP configuration,,"1, 2",ULBWP.1.1,,
Note 2,dBm/15 kHz,1,-98,,
,,2,,,
Note 2,dBm/SCS,1,-98,,
,,2,-95,,
Propagation Condition,,"1, 2",AWGN,,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.,,,,,
