,Field,SRSConf.4,Comments
SRS-,srs-ResourceSetId,0,
ResourceSet,srs-ResourceIdList,0,
,resourceType,Periodic,
,Usage,Codebook,
SRS-Resource,SRS-ResourceId,0,
,nrofSRS-Ports,Port2,
,transmissionComb,n2,
,combOffset-n2,0,
,cyclicShift-n2,0,
,resourceMappingstartPosition,1,
,resourceMappingnrofSymbols,n2,
,resourceMappingrepetitionFactor,n1,
,freqDomainPosition,0,
,freqDomainShift,0,
,freqHoppingc-SRS,0,"Matches NRB,c"
,freqHoppingb-SRS,0,
,freqHoppingb-hop,0,
,groupOrSequenceHopping,Neither,
,resourceType,Periodic,
,periodicityAndOffset-p,"sl20, 3",
,sequenceId,0,
