Parameter,Unit,Cell1,,,Cell2,,
,,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,1,,
Duplex mode,,FDD or TDD,,,FDD or TDD,,
TDD special subframe configurationNote1,,6,,,6,,
TDD uplink-downlink configurationNote1,,1,,,1,,
BWchannel,,"5 MHz: NRB,c = 2510 MHz: NRB,c = 5020 MHz: NRB,c = 100",,,"5 MHz: NRB,c = 2510 MHz: NRB,c = 5020 MHz: NRB,c = 100",,
PDSCH parameters:DL Reference Measurement ChannelNote2,,5 MHz: R.7 FDD10 MHz: R.3 FDD20 MHz: R.6 FDD5 MHz: R.4 TDD10 MHz: R.0 TDD20 MHz: R.3 TDD,,,5 MHz: R.7 FDD10 MHz: R.3 FDD20 MHz: R.6 FDD5 MHz: R.4 TDD10 MHz: R.0 TDD20 MHz: R.3 TDD,,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement ChannelNote2,,5 MHz: R.11 FDD10 MHz: R.6 FDD20 MHz: R.10 FDD5 MHz: R.11 TDD10 MHz: R.6 TDD20 MHz: R.10 TDD,,,5 MHz: R.11 FDD10 MHz: R.6 FDD20 MHz: R.10 FDD5 MHz: R.11 TDD10 MHz: R.6 TDD20 MHz: R.10 TDD,,
OCNG Patterns defined in A.3.2.1 (FDD) and in A.3.2.2(TDD) Note2,,5 MHz: OP.20 FDD10MHz:  OP.1 FDD20 MHz: OP.17 FDD5 MHz: OP.9 TDD10 MHz: OP.1 TDD20 MHz: OP.7 TDD,,OP.18 FDDOP.2 FDDOP.14 FDDOP.10 TDDOP.2 TDDOP.8 TDD,5MHz: OP.18 FDD10MHz: OP.2 FDD20MHz: OP.14 FDD5MHz: OP.10 TDD10MHz: OP.2 TDD20MHz: OP.8 TDD,,OP.20 FDDOP.1 FDDOP.17 FDDOP.9 TDDOP.1 TDDOP.7 TDD
PRACH configuration,,-,,,"4, As specified in table 5.7.1-2 in TS 36.211",,
PBCH_RA,dB,0,,,0,,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PCFICH_RB,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDCCH_RA,dB,,,,,,
PDCCH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote3,dB,,,,,,
OCNG_RBNote3,dB,,,,,,
NocNote4,dBm/15 kHz,-98,,,,,
Ês/Noc,dB,8,8,8,-infinite,11,11
Ês/Iot,dB,8,-3.3,-3.3,-infinite,2.36,2.36
RSRP Note5,dBm/15 kHz,-90,-90,-90,-infinite,-87,-87
SCH_RP Note5,dBm/15 kHz,-90,-90,-90,-infinite,-87,-87
Io Note5,dBm/Ch BW,"-61.58+10∙ log(NRB,c /50)","-57.23+10∙log(NRB,c /50)",,"-61.58+10∙ log(NRB,c /50)","-57.23+10∙log(NRB,c /50)",
Propagation Condition,,AWGN,,,,,
Antenna Configuration,,1x2,,,,,
"Note 1:Special subframe and uplink-downlink configurations are specified in table 4.2-1 in TS 36.211.Note 2:DL RMCs and OCNG patterns are specified in clauses A 3.1 and A 3.2 of TS 36.133 respectively.Note 3:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 5:Es/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,,
