Definitions for parameters,Per,M,FDD-TDD DIFF,FR1-FR2 DIFF
"qoe-AdditionalMemoryMeasReport-r18Indicates the minimum AS layer memory size the UE supports for QoE measurement in RRC_IDLE and RRC_INACTIVE in addition to the ""AS layer memory size for QoE paused measurement reports"". Value kB128 means the UE supports at least 128 kilobytes for this purpose, and so on. A UE supporting this feature shall also support qoe-IdleInactiveMeasReport-r18.",UE,No,No,No
qoe-IdleInactiveMeasReport-r18Indicates whether the UE supports NR QoE Measurement Collection in RRC_IDLE and RRC_INACTIVE states for the services indicated withqoe-Streaming-MeasReport-r17 or qoe-MTSI-MeasReport-r17 or qoe-VR-MeasReport-r17.,UE,No,No,No
"qoe-MTSI-MeasReport-r17Indicates whether the UE supports NR QoE Measurement Collection for MTSI services, see TS 26.114 [30].",UE,No,No,No
"qoe-NRDC-MeasReport-r18Indicates whether the UE supports to receive QoE configuration(s) via SRB1 and/or SRB3 (if supported) from SN, and send the corresponding QoE report(s) via SRB4 and/or SRB5 (if the UE supports srb5). A UE supporting this feature shall also support qoe-Streaming-MeasReport-r17 or qoe-MTSI-MeasReport-r17 or qoe-VR-MeasReport-r17.",UE,No,No,No
"qoe-PriorityBasedDiscarding-r18Indicates whether the UE supports to discard QoE report(s) stored during QoE pause for UE in RRC_CONNECTED and stored in RRC_IDLE/RRC_INACTIVE based on the priority information gNB provides. A UE supporting this feature shall also support qoe-Streaming-MeasReport-r17 or qoe-MTSI-MeasReport-r17 or qoe-VR-MeasReport-r17, and conditionally support qoe-IdleInactiveMeasReport-r18 for QoE measurement reports in RRC_IDLE/RRC_INACTIVE.",UE,No,No,No
"qoe-Streaming-MeasReport-r17Indicates whether the UE supports NR QoE Measurement Collection for streaming services, see TS 26.247 [29].",UE,No,No,No
"qoe-VR-MeasReport-r17Indicates whether the UE supports NR QoE Measurement Collection for VR services, see TS 26.118 [31].",UE,No,No,No
ran-VisibleQoE-Streaming-MeasReport-r17Indicates whether the UE supports RAN visible QoE Measurement Collection for streaming services. A UE supporting this feature shall also support qoe-Streaming-MeasReport-r17.,UE,No,No,No
ran-VisibleQoE-VR-MeasReport-r17Indicates whether the UE supports RAN visible QoE Measurement Collection for VR services. A UE supporting this feature shall also support qoe-VR-MeasReport-r17.,UE,No,No,No
srb5-r18Indicates whether the UE supports SRB5 which is a direct SRB between the SN and the UE as specified in TS 37.340 [7]. A UE supporting this feature shall also indicate support of qoe-NRDC-MeasReport-r18.,UE,No,No,No
"ul-MeasurementReportAppLayer-Seg-r17Indicates whether the UE supports RRC segmentation of the MeasurementReportAppLayer message in UL over SRB4 and SRB5 (if supported), as specified in TS 38.331 [9].",UE,No,No,No
