Sidelink Parameter,UECapabilityInformation,UECapabilityInformationSidelink
accessStratumReleaseSidelink,,X
outOfOrderDeliverySidelink,,X
am-WithLongSN-Sidelink,X,X
um-WithLongSN-Sidelink,X,X
lcp-RestrictionSidelink,X,
logicalChannelSR-DelayTimerSidelink,X,
multipleSR-ConfigurationsSidelink,X,
multipleConfiguredGrantsSidelink,X,
supportedBandCombinationListSidelinkEUTRA-NR,X,
supportedBandCombinationListSidelinkNR,,X
gnb-ScheduledMode3SidelinkEUTRA,X,
gnb-ScheduledMode4SidelinkEUTRA,X,
sl-Reception,X,X
sl-TransmissionMode1,X,
sl-TransmissionMode2,X,
sl-TransmissionMode2-PartialSensing,X,
sl-TransmissionMode2-RandomResourceSelection,X,
sync-Sidelink,X,
congestionControlSidelink,X,
sl-Tx-256QAM,X,X
sl-Rx-256QAM,X,X
psfch-FormatZeroSidelink,X,
lowSE-64QAM-MCS-TableSidelink,X,X
csi-ReportSidelink,,X
enb-sync-Sidelink,X,
rankTwoReception,,X
fewerSymbolSlotSidelink,X,
sl-openLoopPC-RSRP-ReportSidelink,X,X
rx-IUC-Scheme1-PreferredMode2Sidelink,X,X
rx-IUC-Scheme1-NonPreferredMode2Sidelink,X,X
rx-IUC-Scheme2-Mode2Sidelink,X,X
rx-IUC-Scheme1-SCI,X,X
tx-Sidelink,X,
rx-Sidelink,X,
ue-PowerClassSidelink,X,
drx-OnSidelink,X,X
enhancedUuDRX-forSidelink,X,
relayUE-Operation-L2,X,
remoteUE-Operation-L2,X,
remoteUE-PathSwitchToIdleInactiveRelay,X,
supportedBandCombinationListSL-RelayDiscovery,X,
supportedBandCombinationListSL-NonRelayDiscovery,X,
rx-IUC-Scheme1-SCI-ExplicitReq,X,X
scheme2-ConflictDeterminationRSRP,,X
tx-IUC-Scheme2-Mode2Sidelink,X,X
tx-IUC-Scheme1-Mode2Sidelink,X,X
rx-sidelinkPSFCH,X,
p0-OLPC-Sidelink,X,
sl-LBT-FailureDectectionRecovery,X,
pdcp-DuplicationSRB-sidelink,X,X
pdcp-DuplicationDRB-sidelink,X,X
supportedBandCombinationListSL-U2U-RelayDiscovery,X,
relayUE-U2U-OperationL2,X,
remoteUE-U2U-OperationL2,X,
remoteUE-U2N-PathSwitchOperationL2,X,
multipathRemoteUE-PC5L2,X,
multipathRelayUE-N3C,X,
multipathRemoteUE-N3C,X,
remoteUE-IndirectPathAddChangeToIdleInactiveRelay,X,
pdcp-DuplicationMoreThanOneUuRLC,X,
sl-ReceptionIntraCarrierGuardBand,X,X
sl-PowerClassUnlicensed,,X
pdcp-CADuplicationDirectpath-DRB,X,
pdcp-CADuplicationDirectpath-SRB,X,
pdcp-DuplicationMP-SplitDRB,X,
pdcp-DuplicationMP-SplitSRB,X,
directpathRLF-RecoveryViaSRB1,X,
sl-DynamicChannelAccess,X,
sl-DynamicMultiChannelAccess,X,
sl-UE-COT-Sharing,,X
sl-LBT-Option1,X,
sl-LBT-Option2,X,
sl-ResourceAllocMode1,X,
sl-Interlace-RB-TxRx,X,
sl-PSFCH-MultiOccasion,X,
sl-ContiguousRB-TxRx,X,
sl-PSFCH-MultiContiguousRB,X,X
-PSFCH-MultiNonContiguousRB,X,X
sl-DynamicSharingTxRx,X,
sl-CA-Basic,X,X
sl-CA-Synchronization,X,
sl-MultiplePRB-CommonInterlacePSFCH,X,
sl-PathlossBasedOLPC-SL-RSRP-Report,X,X
sl-PRS-CommonProcCapabilityPerUE,X,
sl-PRS-CommonProcCapabilityPerBand,X,
sl-PRS-RxInDedicatedResourcePool,X,
sl-PRS-CongestionCtrl,X,
sl-PRS-TxUsingFullSensing,X,
sl-PRS-RxForBandWithSL-CA,X,
sl-PRS-TxForBandWithSL-CA,X,
sl-PRS-RxInSharedResourcePool,X,
sl-PRS-TxInSharedResourcePool,X,
sl-PRS-TxInSharedResourcePool,X,
sl-PRS-TxScheme1InDedicatedResourcePool,X,
sl-PRS-TxScheme2InDedicatedResourcePool,X,
sl-PRS-TxRandomSelection,X,
splitDRB-WithUL-BothDirectIndirect,X,
relayUE-MH-Operation-L2,X,
remoteUE-MH-Operation-L2,X,
