Features,Index,Feature group,Components
"0. Waveform, modulation, subcarrier spacings, and CP",0-1,CP-OFDM waveform for DL and UL,1) CP-OFDM for DL2) CP -OFDM for UL
,0-3,DL modulation scheme,1) QPSK modulation2) 16QAM modulation3) 64QAM modulation for FR1
,0-4,UL modulation scheme,1) QPSK modulation2) 16QAM modulation
1. Initial access and mobility,1-1,Basic initial access channels and procedures,1) RACH preamble format2) SS block based RRM measurement3) Broadcast SIB reception including RMSI/OSI and paging
2. MIMO,2-1,Basic PDSCH reception,1) Data RE mapping2) Single layer transmission3) Support one TCI state
,2-5,Basic downlink DMRSfor scheduling type A,1) Support 1 symbol FL DMRS without additional symbol(s)2) Support 1 symbol FL DMRS and 1 additional DMRS symbol3) Support 1 symbol FL DMRS and 2 additional DMRS symbols for at least one port.
,2-6,Basic downlink DMRSfor scheduling type B,1) Support 1 symbol FL DMRS without additional symbol(s)2) Support 1 symbol FL DMRS and 1 additional DMRS symbol
,2-12,Basic PUSCH transmission,"Data RE mappingSingle layer (single Tx) transmissionSingle port, single resource SRS transmission (SRS set use is configured as for codebook)"
,2-16,Basic uplink DMRS (uplink) for scheduling type A,1) Support 1 symbol FL DMRS without additional symbol(s)2) Support 1 symbol FL DMRS and 1 additional DMRS symbols3) Support 1 symbol FL DMRS and 2 additional DMRS symbols
,2-16a,Basic uplink DMRSfor scheduling type B,1) Support 1 symbol FL DMRS without additional symbol(s)2) Support 1 symbol FL DMRS and 1 additional DMRS symbol
,2-32,Basic CSI feedback,"1) Type I single panel codebook based PMI (further discuss which mode or both to be supported as mandatory)2) 2Tx codebook for FR1 and FR23) 4Tx codebook for FR14) 8Tx codebook for FR1 when configured as wideband CSI report7) a-CSI on PUSCH (at least Z value >= 14 symbols, detail processing time to be discussed separately)further check a-CSI on p-CSI-RS and/or SP-CSI-RS from component-7"
,2-50,Basic TRS,1) Support of TRS (mandatory)2) All the periodicity are supported.
,2-52,Basic SRS,1) Support 1 port SRS transmission2) Support periodic/aperiodic SRS transmission
