Definitions for parameters,Per,M,FDD-TDD DIFF,FR1-FR2 DIFF
"ul-DynamicChAccess-r16Indicates whether the UE supports UL channel access for dynamic channel access mode.Support of this feature is mandatory if UE supports any of the deployment scenarios A.2, B, C, D and E in Annex B.3 of TS 38.300 [28] with dynamic channel access mode.",Band,CY,N/A,N/A
"ul-Semi-StaticChAccess-r16Indicates whether the UE supports UL channel access for semi-static channel access mode.Support of this feature is mandatory if UE supports any of the deployment scenarios A.2, B, C, D and E in Annex B.3 of TS 38.300 [28] with semi-static channel access mode.",Band,CY,N/A,N/A
"ssb-RRM-DynamicChAccess-r16Indicates whether the UE supports SSB-based RRM for dynamic channel access mode.Support of this feature is mandatory if UE supports any of the deployment scenarios A.1, A.2, B, C, D and E in Annex B.3 of TS 38.300 [28] with dynamic channel access mode.",Band,CY,N/A,N/A
"ssb-RRM-Semi-StaticChAccess-r16Indicates whether the UE supports SSB-based RRM for semi-static channel access mode, when SMTC window is no longer than the fixed frame period.Support of this feature is mandatory if UE supports any of the deployment scenarios A.1, A.2, B, C, D and E in Annex B.3 of TS 38.300 [28] with semi-static channel access mode.",Band,CY,N/A,N/A
"mib-Acquisition-r16Indicates whether the UE supports acquiring MIB on an unlicensed cell for SpCell.Support of this feature is mandatory if UE supports any of the deployment scenarios B, C, D and E in Annex B.3 of TS 38.300 [28].",Band,CY,N/A,N/A
"ssb-RLM-DynamicChAccess-r16Indicates whether the UE supports SSB-based RLM for dynamic channel access mode.Support of this feature is mandatory if UE supports any of the deployment scenarios B, C, D and E in Annex B.3 of TS 38.300 [28] with dynamic channel access mode.",Band,CY,N/A,N/A
"ssb-RLM-Semi-StaticChAccess-r16Indicates whether the UE supports SSB-based RLM for semi-static channel access mode, when discovery burst transmission window is no longer than the fixed frame period.Support of this feature is mandatory if UE supports any of the deployment scenarios B, C, D and E in Annex B.3 of TS 38.300 [28] with semi-static channel access mode.",Band,CY,N/A,N/A
sib1-Acquisition-r16Indicates whether the UE supports acquiring SIB1 on an unlicensed cell for PCell.Support of this feature is mandatory if UE supports any of the deployment scenarios C and D in Annex B.3 of TS 38.300 [28].,Band,CY,N/A,N/A
"extRA-ResponseWindow-r16Indicates whether the UE supports the configuration of maximum length of RAR window with a value larger than 10ms and up to 40ms by decoding of the 2 LSBs of SFN in the DCI format 1_0 for 4-step RA type. Support of this feature is mandatory if the UE supports any of the deployment scenarios B, C, D and E in Annex B.3 of TS 38.300 [28].",Band,CY,N/A,N/A
ssb-BFD-CBD-dynamicChannelAccess-r16Indicates whether the UE supports SSB based Beam Failure Detection and Candidate Beam Detection with NSSBQCL for dynamic channel access mode.,Band,No,N/A,N/A
ssb-BFD-CBD-semi-staticChannelAccess-r16Indicates whether the UE supports SSB based Beam Failure Detection and Candidate Beam Detection with NSSBQCL for semi-static channel access mode.,Band,No,N/A,N/A
csi-RS-BFD-CBD-r16Indicates whether the UE supports CSI-RS based Beam Failure Detection and Candidate Beam Detection for shared spectrum operation.,Band,No,N/A,N/A
ul-ChannelBW-SCell-10mhz-r16Indicates whether the UE supports 10 MHz of LBT bandwidth for an SCell. A UE that supports this feature shall also support ul-DynamicChAccess-r16 or ul-Semi-StaticChAccess-r16.,Band,No,N/A,N/A
rssi-ChannelOccupancyReporting-r16Indicates whether the UE supports RSSI measurements and channel occupancy reporting.,Band,No,N/A,N/A
srs-StartAnyOFDM-Symbol-r16Indicates whether the UE supports transmitting SRS starting in all symbols (0 to 13) of a slot. This capability is also applicable to a frequency band that does not require shared spectrum access.,Band,No,N/A,N/A
"searchSpaceFreqMonitorLocation-r16Indicates the maximum number of frequency domain locations supported by the UE, for a search space set configuration with freqMonitorLocations-r16.",Band,No,N/A,N/A
coreset-RB-Offset-r16Indicates whether the UE supports CORESET configuration with rb-Offset-r16. This capability is also applicable to a frequency band that does not require shared spectrum access.,Band,No,N/A,N/A
cgi-Acquisition-r16Indicates whether the UE supports acquisition of CGI information from a neighbouring NR unlicensed cell in an unlicensed carrier by reading SIB1 of the neighbouring unlicensed cell and reporting the acquired information to the network.,Band,No,N/A,N/A
"configuredUL-Tx-r16Indicates whether the UE supports configuration of enableConfiguredUL-r16 and enable transmission of higher-layer configured UL (SRS, PUCCH, CG-PUSCH, etc) when SFI field in DCI 2_0 is configured but DCI 2_0 is not detected.",Band,No,N/A,N/A
"prach-Wideband-r16Indicates whether the UE supports enhanced PRACH design for operation with shared spectrum channel access by adopting a single long ZC sequence, with ZC sequence = 1151 for 15 kHz and ZC sequence = 571 for 30 kHz.",Band,No,N/A,N/A
dci-AvailableRB-Set-r16Indicates whether the UE supports monitoring DCI 2_0 to read available RB set indicator.,Band,No,N/A,N/A
dci-ChOccupancyDuration-r16Indicates whether the UE supports monitoring DCI 2_0 to read COT duration.,Band,No,N/A,N/A
"typeB-PDSCH-length-r16Indicates whether the UE supports 1. Type B PDSCH length {3, 5, 6, 8, 9, 10, 11, 12, 13} without DMRS shift due to CRS collision. This capability is also applicable to a frequency band that does not require shared spectrum access.",Band,No,N/A,N/A
"searchSpaceSwitchWithDCI-r16Indicates whether the UE supports switching between two groups of search space sets with DCI 2_0 monitoring that comprises of the following functional components:-Monitor DCI 2_0 with a search space set switching field;-Support switching the search space set group with PDCCH decoding in group 1;-Support a timer to switch back to original search space set group;-Monitor DCI 2_0 for channel occupancy time and use the end of channel occupancy time to switch back to the original search space set group.The UE can switch search space set groups for different cells independently, unless the UE supports jointSearchSpaceSwitchAcrossCells-r16. The UE supports search space set group switching capability-1: P=25/25/25 symbols for µ=0/1/2, unless the UE supports searchSpaceSwitchCapability2-r16. The UE supports search space switching triggers to be configured for up to 4 cells or 4 cell groups.",Band,No,N/A,N/A
extendedSearchSpaceSwitchWithDCI-r16Indicates whether the UE supports search space switching triggers to be individually configured for up to 16 cells. UE indicating support of this feature shall indicate support of searchSpaceSwitchWithDCI-r16.,Band,No,N/A,N/A
"searchSpaceSwitchWithoutDCI-r16Indicates whether the UE supports switching between two groups of search space sets without DCI 2_0 monitoring (i.e. implicit PDCCH decoding) that comprises of the following functional components:-Support switching the search space set group with PDCCH decoding in group 1;-Support a timer to switch back to original search space set group.The UE can switch search space set groups for different cells independently, unless the UE supports jointSearchSpaceSwitchAcrossCells-r16. The UE supports search space set group switching capability-1: P=25/25/25 symbols for µ=0/1/2, unless the UE supports searchSpaceSwitchCapability2-r16.",Band,No,N/A,N/A
"searchSpaceSwitchCapability2-r16Indicates whether the UE supports search space set group switching Capability-2: P=10/12/22 symbols for µ = 0/1/2 SCS. If the UE supports this feature, the UE needs to report searchSpaceSwitchWithDCI-r16 or searchSpaceSwitchWithoutDCI-r16.",Band,No,N/A,N/A
non-numericalPDSCH-HARQ-timing-r16Indicates whether the UE supports configuration of a value for dl-DataToUL-ACK-r16 indicating an inapplicable time to report HARQ ACK.,Band,No,N/A,N/A
enhancedDynamicHARQ-codebook-r16Indicates whether the UE supports enhanced dynamic HARQ codebook supporting grouping of HARQ ACK and triggering the retransmission of HARQ ACK in each group. The enhanced dynamic HARQ codebook comprises of the following functional components:-Support of bit fields signalling PDSCH HARQ group index and NFI in DCI 1_1 (configuration of nfi-TotalDAI-Included);-Support of bit field in DCI 0_1 for other group total DAI if configured. (configuration of ul-TotalDAI-Included);-Support the retransmission of HARQ ACK (pdsch-HARQ-ACK-Codebook = enhancedDynamic-r16).This capability is also applicable to a frequency band that does not require shared spectrum access.,Band,No,N/A,N/A
"oneShotHARQ-feedback-r16Indicates whether the UE supports one shot HARQ ACK feedback comprised of the following functional components:-Support feedback of type 3 HARQ-ACK codebook, triggered by a DCI 1_1 scheduling a PDSCH;-Support feedback of type 3 HARQ-ACK codebook, triggered by a DCI 1_1 without scheduling a PDSCH using a reserved FDRA value.This capability is also applicable to a frequency band that does not require shared spectrum access.",Band,No,N/A,N/A
multiPUSCH-UL-grant-r16Indicates whether the UE supports scheduling up to 8 PUSCH with a single DCI 0_1. This capability is also applicable to a frequency band that does not require shared spectrum access.,Band,No,N/A,N/A
csi-RS-RLM-r16Indicates whether the UE supports CSI-RS based RLM for NR-Unlicensed.,Band,No,N/A,N/A
