Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
additionalDMRS-DL-AltIndicates whether the UE supports the alternative additional DMRS position for co-existence with LTE CRS. It is applied to 15kHz SCS and one additional DMRS case only.,FS,CY,N/A,FR1 only
"aperiodicCSI-TimeRelaxation-r18Indicates whether the UE supports aperiodic CSI report timing relaxation for doppler codebook based on eType-II codebook and feType-II codebook. The capability signalling comprises of the following parameters:-valueW-r18 indicates aperiodic CSI report timing relaxation, w, for doppler codebook based on Type-II codebook. UE reports valueW-r18, independently for each SCS in unit of symbols. value1 indicates 14*(KP–1)*d symbols, value2 indicates 14*KP*d symbols, where KP is according to scalingfactor-r18 of eType2Doppler-r18, or according to scalingfactor-r18 of feType2Doppler-r18 and d =4 (minimum periodicity of periodic CSI-RS).-timeRelaxation-r18 indicates aperiodic CSI report timing relaxation for doppler codebook based on Type-II codebook.For vectorLengthDD-r18 = 1:1) For AP CSI-RS: (Z,Z') = (Z2 + 14*(K–1)*m, Z'2);2) For P/SP CSI-RS: (Z,Z') = (Z2 + w, Z'2).For vectorLengthDD-r18 > 1 and cap1 in timeRelaxation-r18:1) For AP CSI-RS: (Z,Z') = (Z2 + 14*(K–1)*m, Z'2);2) For P/SP CSI-RS: (Z,Z') = (Z2 + w, Z'2).For vectorLengthDD-r18 > 1 and cap2 in timeRelaxation-r18:1) For AP CSI-RS: (Z,Z') = (Z2 + 14*(K–1)*m + Z'2, 2Z'2);2) For P/SP CSI-RS: (Z,Z') = (Z2 + w + Z'2, 2Z'2).Z2/Z'2 are defined in Table 5.4-2 in TS 38.214 [12]. K = {4,8,12}, is the number of AP CSI-RS resources for the CMR in a CSI report setting. M = {1,2}, is the offset between two adjacent AP CSI-RS resources for the CMR in slots.A UE supporting this feature shall also indicate support of at least one of eType2Doppler-r18 or feType2Doppler-r18.NOTE:A UE that supports eType2Doppler-r18 or feType2Doppler-r18 must signal this feature.",FS,CY,N/A,N/A
"bwpOperationMeasWithoutInterrupt-r18Indicates whether the UE supports RLM/BM/BFD and gapless L3 intra-frequency measurements based on CD-SSB outside active BWP without interruptions. For the UE that is capable of this feature, the bandwidth of UE-specific RRC configured BWP need not include bandwidth of the CORESET#0 (if CORESET#0 is present) and CD-SSB for PCell; the bandwidth of UE-specific RRC configured BWP need not include bandwidth of the CORESET#0 (if CORESET#0 is present) and SSB indicated by absoluteFrequencySSB (either CD-SSB or NCD-SSB) for PSCell (if configured); and the bandwidth of the UE-specific RRC configured BWP need not include CD-SSB for SCell (if configured). CD-SSB outside active DL BWP but within the bandwidth of the corresponding carrier(s) to be measured can be used as the QCL source for other reference signal. UE performs L3 intra-frequency measurements without gaps based on CD-SSB, where the CD-SSB is outside the active DL BWP but is within the bandwidth of the corresponding carrier(s) to be measured.NOTE 1:The CD-SSB is still within the bandwidth of the carrier configured by SCS-SpecificCarrier of downlinkChannelBW-PerSCS-List in ServingCellConfig.NOTE 2:If a UE is configured with more than one UE-specific DL BWP configurations, the CD-SSB is within the bandwidth of at least one of the UE-specific DL BWP configurations.NOTE 3:Void.NOTE 4:If a UE additionally indicates support of NeedForGap or NeedForGapNCSG and/or NeedForInterruption, the UE shall report no gap and no interruption/no NCSG for intra-frequency measurement.This capability is not applicable to RedCap or eRedCap UEs.",FS,No,N/A,N/A
cbgPDSCH-ProcessingType1-DifferentTB-PerSlot-r16Defines whether the UE capable of processing time capability 1 supports CBG based reception with one or with up to two or with up to four or with up to seven unicast PDSCHs per slot per CC.,FS,No,N/A,N/A
cbgPDSCH-ProcessingType2-DifferentTB-PerSlot-r16Defines whether the UE capable of processing time capability 2 supports CBG based reception with one or with up to two or with up to four or with up to seven unicast PDSCHs per slot per CC.,FS,No,N/A,N/A
"crossCarrierSchedulingProcessing-DiffSCS-r16Indicates the UE cross carrier scheduling processing capability for DL carrier aggregation processing up to X unicast DCI scheduling for DL per scheduled CC. X is based on pair of (scheduling CC SCS, scheduled CC SCS) where a pair of (15,120), (15,60), (30,120) kHz SCS can have X = {1,2,4} while a pair of (15,30), (30,60), (60,120) kHz SCS can have X = {2}, and X applies per slot of scheduling CC.",FS,No,N/A,N/A
"csi-RS-MeasSCellWithoutSSBDefines whether the UE can perform CSI-RSRP and CSI-RSRQ measurement as specified in TS 38.215 [13], where CSI-RS resource is configured for a cell that does not transmit SS/PBCH block. A UE that supports this feature shall also support scellWithoutSSB.",FS,No,N/A,N/A
dl-MCS-TableAlt-DynamicIndicationIndicates whether the UE supports dynamic indication of MCS table for PDSCH.,FS,No,N/A,N/A
"dmrs-MultiTRP-AdditionRows-r18Indicates whether the UE supports additional row(s) for antenna ports (0,2,3) for DL DMRS ports for single-DCI based M-TRP.A UE supporting this feature shall also indicate support of dmrs-MultiTRP-SingleDCI-r18.",FS,No,N/A,N/A
dmrs-MultiTRP-MultiDCI-r18Indicates whether the UE supports Rel-18 DL DMRS with multi-DCI based M-TRP PDSCH operation.A UE supporting this feature shall also indicate support of pdsch-TypeA-DMRS-r18 or pdsch-TypeB-DMRS-r18.,FS,No,N/A,N/A
