Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
ack-NACK-FeedbackForMulticastWithDCI-Enabler-r17Indicates whether the UE supports DCI-based enabling/disabling ACK/NACK based HARQ-ACK feedback configured per G-RNTI by RRC signalling via DCI format 4_2.A UE supporting this feature shall also indicate support of ack-NACK-FeedbackForMulticast-r17 and dynamicMulticastDCI-Format4-2-r17.,Band,No,N/A,N/A
ack-NACK-FeedbackForSPS-MulticastWithDCI-Enabler-r17Indicates whether the UE supports DCI-based enabling/disabling ACK/NACK based HARQ-ACK feedback configured per G-CS-RNTI for multicast by RRC signalling via DCI format 4_2.A UE supporting this feature shall also indicate support of ack-NACK-FeedbackForSPS-Multicast-r17 and sps-MulticastDCI-Format4-2-r17.,Band,No,N/A,N/A
"activeConfiguredGrant-r16Indicates whether the UE supports up to 12 configured/active configured grant configurations in a BWP of a serving cell. This field includes the following parameters:-maxNumberConfigsPerBWP-r16 indicates the maximum number of configured/active configured grant configurations in a BWP of a serving cell.-maxNumberConfigsAllCC-r16 indicates the maximum number of configured/active configured grant configurations across all serving cells in a MAC entity, and across MCG and SCG in case of NR-DC.The UE can include this feature only if the UE indicates support of either configuredUL-GrantType1 or configuredUL-GrantType1-v1650 and/or configuredUL-GrantType2 or configuredUL-GrantType2-v1650.NOTE:-For all the reported bands in FR1, a same X1 value is reported for maxNumberConfigsAllCC-r16. For all the reported bands in FR2, a same X2 value is reported for maxNumberConfigsAllCC-r16.-The total number of configured/active configured grant configurations across all serving cells in FR1 is no greater than X1.-The total number of configured/active configured grant configurations across all serving cells in FR2 is no greater than X2.-If the CA have some serving cell(s) in FR1 and some serving cell(s) in FR2, the total number of configured/active configured grant configurations across all serving cells is no greater than max(X1, X2).",Band,No,N/A,N/A
"additionalActiveTCI-StatePDCCHIndicates whether the UE supports one additional active TCI-State for control in addition to the supported number of active TCI-States for PDSCH. The UE can include this field only if maxNumberActiveTCI-PerBWP in tci-StatePDSCH is set to n1. Otherwise, the UE does not include this field.",Band,No,N/A,N/A
"aiml-BM-Case1-r19Indicates whether the UE supports beam prediction with reporting of predicted beam index for BM-Case1 for inference with UE-side model. The UE supports SSB and CSI-RS as RS type for Set A and Set B. This field includes the following parameters:-maxNumberOfInferenceReportPerBWP-r19 indicates the maximum number of inference report(s) configured for BM-Case1 per BWP;-maxNumberOfInferenceReportAcrossAllCC-r19 indicates the maximum number of inference report(s) configured for BM-Case1 across all CCs;-maxNumberOfResourceSetB-r19 indicates the maximum number of resources for Set B;-maxNumberOfResourceSetA-r19 indicates the maximum number of resources for Set A;-resourceTypeSetB-CSI-RS-r19 indicates CSI-RS resource types for Set B;-inferenceReportType-r19 indicates the supported inference report types;-subUseCases-r19 indicates the supported BM-Case 1 sub-use case(s);-maxNumberOfPredictedBeamPerReportingInstance-r19 indicates the maximum number of predicted beams in each reporting instance;-numberOfOccupiedCPU-r19 indicates the number of occupied CPU;-numberOfOccupiedCPUx-r19 indicates the number of occupied CPU,2/CPU,3;-relaxationTimelineD-r19 indicates the value of d for the relaxation of Z3 timeline;-relaxationTimelineD1-r19 indicates the value of d’ for the relaxation of Z’3 timeline;-occupiedResourcePool-r19 indicates the occupied resource pool between CPU,2 and CPU,3.A UE supporting this feature shall also indicate support of csi-ReportFramework.NOTE 1:The value of numberOfOccupiedCPU-r19 and numberOfOCcupiedCPUx-r19 are not allowed to be zero simultaneously.NOTE 2:The UE should not report non-zero value for numberOfOccupiedCPUx-r19 if aiml-CSI-Report-r19 is not supported.",Band,No,N/A,N/A
aiml-BM-Case1-KnownRxBeam-r19Indicates whether the RX beam corresponding to UE predicted TX beam in Set A is known at the UE when TX beam is not QCL Type D to a known TCI or it is not QCL type D to a Tx beam in Set B for BM-Case1.A UE supporting this feature shall also indicate support of aiml-BM-Case1-r19.,Band,No,TDD only,FR2-1 only
aiml-BM-Case1-PredictedRSRP-r19Indicates whether the UE supports beam prediction with reporting of predicted beam index and predicted RSRP for BM-Case1 for inference. The UE also indicates the supported maximum number of predicted beams with RSRP in each reporting instance.A UE supporting this feature shall also indicate support of aiml-BM-Case1-r19.,Band,No,N/A,N/A
"aiml-BM-Case2-r19, aiml-BM-Case2-v1920Indicates whether the UE supports beam prediction with reporting of predicted beam index for BM-Case2 for inference with UE-side model. The UE supports SSB and CSI-RS as RS type for Set A and Set B. This field includes the following parameters:-maxNumberOfInferenceReportPerBWP-r19 indicates the maximum number of inference report(s) configured for BM-Case2 per BWP;-maxNumberOfInferenceReportAcrossAllCC-r19 indicates the maximum number of inference report(s) configured for BM-Case2 across all CCs;-maxNumberOfResourceSetB-r19 indicates the maximum number of resources for Set B;-maxNumberOfResourceSetA-r19 indicates the maximum number of resources for Set A;-minNumberOfKBM-SetB-r19 indicates the minimum number of received transmission occasions KBM for Set B;-resourceTypeSetB-CSI-RS-r19 indicates CSI-RS resource types for Set B;-inferenceReportType-r19 indicates the supported inference report types;-maxNumberOfPredictedBeamPerPerTimeInstance-r19 indicates the maximum number of predicted beams in each predicted time instance;-maxNumberOfPredictedTimeInstance-r19 indicates the maximum number of predicted time instances;-maxTotalNumberOfPredictedBeamPerReport-r19 indicates the maximum total number of reported predicted beams for predicted time instances in one report;-timeGap-r19 indicates the supported value(s) of time gap between predicted time instances and between reference time to the first future time instance. It is encoded as a 5-bit bitmap {10ms, 20ms, 40ms, 80ms, 160ms}, where the leading / leftmost bit (bit 0) corresponds to 10ms. The next bit (bit 1) corresponds to 20ms, and so on. The rightmost bit (bit 5) corresponds to 160ms;-numberOfOccupiedCPU-r19 indicates the number of occupied CPU;-numberOfOccupiedCPUx-r19 indicates the number of occupied CPU,2/CPU,3;-relaxationTimelineD-r19 indicates the value of d for the relaxation of Z3 timeline;-relaxationTimelineD1-r19 indicates the value of d’ for the relaxation of Z’3 timeline;-occupiedResourcePool-r19 indicates the occupied resource pool between CPU,2 and CPU,3;A UE supporting this feature shall also indicate support of csi-ReportFramework.NOTE 1:The value of numberOfOccupiedCPU-r19 and numberOfOccupiedCPUx-r19 are not allowed to be zero simultaneously.NOTE 2:The UE should not report non-zero value for numberOfOccupiedCPUx-r19 if aiml-CSI-Report-r19 is not supported.",Band,No,N/A,N/A
aiml-BM-Case2-KnownRxBeam-r19Indicates whether the RX beam corresponding to UE predicted TX beam in Set A is known when TX beam is not QCL Type D to a known TCI or it is not QCL type D to a Tx beam in Set B for BM-Case2.A UE supporting this feature shall also indicate support of aiml-BM-Case2-r19.,Band,No,TDD only,FR2-1 only
aiml-BM-Case2-PredictedRSRP-r19Indicates whether the UE supports beam prediction with reporting of predicted beams and predicted RSRP for BM-Case2 for inference. This field includes the following parameters:-maxNumPredictedBeamPerInstance-r19 indicates the maximum number of predicted beams in each predicted time instance;-maxNumPredictedTime-r19 indicates the maximum number of predicted time instances;-maxTotalNumPredictedBeamInOneReport-r19 indicates the maximum total number of reported predicted beams for predicted time instances in one report.A UE supporting this feature shall also indicate support of aiml-BM-Case2-r19.,Band,No,N/A,N/A
