Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
case6-TimingAlignmentReception-IAB-r17Indicates whether the IAB-MT supports case 6 timing alignment reception and signalling to the parent-node that case 6 timing mode is required for simultaneous transmission as specified in TS 38.213 [11].,IAB-MT,No,No,No
case7-TimingAlignmentReception-IAB-r17Indicates whether the IAB-MT supports case 7 timing offset indication reception and case 7 timing at parent-node indication reception as specified in TS 38.213 [11].,IAB-MT,No,No,No
dft-S-OFDM-WaveformUL-IAB-r16Indicates whether the IAB-MT supports DFT-S-OFDM waveform for UL and transform precoding for single-layer PUSCH.,IAB-MT,No,No,No
dci-25-AI-RNTI-Support-IAB-r16Indicates the support of monitoring DCI Format 2_5 scrambled by AI-RNTI for indication of soft resource availability to an IAB node as specified in TS 38.212 [10].,IAB-MT,No,No,No
directionalCollisionDC-IAB-r17Indicates the support for directional collision handling between MCG and SCG cell(s) of the dual parent nodes for simultaneous operation in inter-donor and/or intra-donor DC operation.,IAB-MT,No,No,No
dl-tx-PowerAdjustment-IAB-r17Indicates the support of desired DL Tx power adjustment reporting and DL Tx power adjustment reception.,IAB-MT,No,No,No
desired-ul-tx-PowerAdjustment-r17Indicates the support of Desired IAB-MT PSD range reporting.,IAB-MT,No,No,No
fdm-SoftResourceAvailability-DynamicIndication-r17Indicates the support of monitoring DCI Format 2_5 scrambled by AI-RNTI for indication of FDM soft resource availability to an IAB-node.,IAB-MT,No,No,No
guardSymbolReportReception-IAB-r16Indicates the support of DesiredGuardSymbols reporting and ProvidedGuardSymbols reception as specified in TS 38.213 [11].,IAB-MT,No,No,No
"guardSymbolReportReception-IAB-r17Indicates the support of extended DesiredGuardSymbols reporting and ProvidedGuardSymbols reception to new switching scenarios case#6 and case#7 as specified in TS 38.213 [11].UE indicating support of this feature shall also indicate support of one or more of case6-TimingAlignmentReception-IAB-r17 and case7-TimingAlignmentReception-IAB-r17.NOTE:If an IAB node does not support a certain timing mode (Case 6, Case 7), the reported/provided values shall be ignored.",IAB-MT,No,No,No
pdsch-MappingTypeAIndicates whether the IAB-MT supports receiving PDSCH using PDSCH mapping type A with less than seven symbols.,IAB-MT,No,No,No
pucch-F2-WithFHIndicates whether the IAB-MT supports transmission of a PUCCH format 2 (2 OFDM symbols in total) with frequency hopping in a slot.,IAB-MT,No,No,Yes
pucch-F3-WithFHIndicates whether the IAB-MT supports transmission of a PUCCH format 3 (4~14 OFDM symbols in total) with frequency hopping in a slot.,IAB-MT,No,No,Yes
restricted-IAB-DU-BeamReception-r17Indicates the support of restricted IAB-DU beam reception.,IAB-MT,No,No,No
recommended-IAB-MT-BeamTransmission-r17Indicates the support of recommended IAB-MT beam transmission for DL and UL beam.,IAB-MT,No,No,No
"separateSMTC-InterIAB-Support-r16Indicates the support of up to 4 SMTCs configurations per frequency location, including IAB-specific SMTC window periodicities.",IAB-MT,No,No,No
separateRACH-IAB-Support-r16Indicates the support of separate RACH configurations including new IAB-specific offset and scaling factors.,IAB-MT,No,No,No
t-DeltaReceptionSupport-IAB-r16Indicates the support of T_delta reception for case 1 OTA timing alignment as specified in TS 38.213 [11].,IAB-MT,No,No,No
ul-flexibleDL-SlotFormatSemiStatic-IAB-r16Indicates the support of semi-static configuration/indication of UL-Flexible-DL slot formats for IAB-MT resources.,IAB-MT,No,No,No
ul-flexibleDL-SlotFormatDynamics-IAB-r16Indicates the support of dynamic indication of UL-Flexible-DL slot formats for IAB-MT resources.,IAB-MT,No,No,No
updated-T-DeltaRangeReception-r17Indicates the support of updated T_Delta range reception.UE indicating support of this feature shall also support case6-TimingAlignmentReception-IAB-r17.,IAB-MT,No,No,No
