Support for the feature,,Setting of UE capability fields,,,,,
,,Common UE capability (with suffix '-XDD-Diff'),Common UE capability (with suffix '-FRX-diff'),fdd-Add-UE-NR/MRDC-Capabilities,tdd-Add-UE-NR/MRDC-Capabilities,fr1-Add-UE-NR/MRDC-Capabilities,fr2-Add-UE-NR/MRDC-Capabilities
Case 1,FR1 FDD: 'supported'FR1 TDD: 'supported'FR2 TDD: 'supported',Included,Included,Not included,Not included,Not included,Not included
Case 2,FR1 FDD: 'not supported'FR1 TDD: 'not supported'FR2 TDD: 'not supported',Not included,Not included,Not included,Not included,Not included,Not included
Case 3,FR1 FDD: 'not supported'FR1 TDD: 'supported'FR2 TDD: 'supported',Not included,Included,Not included,Included,Not included,Not included
,,Not included,Not included,Not included,Included,Not included,Not included
Case 4,FR1 FDD: 'not supported'FR1 TDD: 'not supported'FR2 TDD: 'supported',Not included,Not included,Not included,Included,Not included,Included
Case 5,FR1 FDD: 'not supported'FR1 TDD: 'supported'FR2 TDD: 'not supported',Not included,Not included,Not included,Included,Included,Not included
Case 6,FR1 FDD: 'supported'FR1 TDD: 'not supported'FR2 TDD: 'supported',The current UE capability signalling does not support the UE capability indication for this case.,,,,,
Case 7,FR1 FDD: 'supported'FR1 TDD: 'not supported'FR2 TDD: 'not supported',Not included,Not included,Included,Not included,Included,Not included
Case 8,FR1 FDD: 'supported'FR1 TDD: 'supported'FR2 TDD: 'not supported',Included,Not included,Not included,Not included,Included,Not included
,,Not included,Not included,Not included,Not included,Included,Not included
