Definitions for parameters,Per,M,FDD-TDD DIFF,FR1-FR2 DIFF
barometerMeasReport-r16Indicates whether the UE supports uncompensated barometeric pressure measurement reporting upon request from the network.,UE,No,No,No
earlyMeasLog-r17Indicates whether the UE supports the storage of Early Measurement Logging in logged measurements and the reporting upon request from the network as specified in TS 38.331 [9].,UE,No,No,No
excessPacketDelay-r17Indicates whether the UE supports the UL PDCP excess packet delay measurement per DRB as specified in TS 38.314 [26]. A UE that supports the UL PDCP excess packet delay measurement shall also support the measurement configuration and reporting as specified in TS 38.331 [9].,UE,No,No,No
geoAreaScopeChecking-r19Indicates whether the UE supports geographic area scope checking for logged MDT. A UE supporting this feature shall also indicate support of loggedMeasurements-r16 and nonTerrestrialNetwork-r17.,UE,No,No,No
"gnss-Location-r16Indicates whether the UE is equipped with a GNSS or A-GNSS receiver that may be used to provide detailed or (for NTN case only) coarse location information along with SON, MDT, and NTN related measurements in RRC_CONNECTED, RRC_IDLE and RRC_INACTIVE state. A UE shall set this field to supported if it indicates the support of nonTerrestrialNetwork-r17.",UE,CY,No,No
immMeasBT-r16Indicates whether the UE supports Bluetooth measurements in RRC_CONNECTED state.,UE,No,No,No
immMeasWLAN-r16Indicates whether the UE supports WLAN measurements in RRC_CONNECTED state.,UE,No,No,No
loggedMDT-PNI-NPN-r18Indicates whether the UE supports Logged MDT for PNI-NPN(s).,UE,No,No,No
loggedMDT-Slicing-r19Indicates whether the UE supports Logged MDT for Slicing.,UE,No,No,No
loggedMDT-SNPN-r18Indicates whether the UE supports Logged MDT for SNPN(s).,UE,No,No,No
loggedMeasBT-r16Indicates whether the UE supports Bluetooth measurements in RRC_IDLE and RRC_INACTIVE state.,UE,No,No,No
"loggedMeasurements-r16Indicates whether the UE supports logged measurements in RRC_IDLE and RRC_INACTIVE state. A UE that supports logged measurements shall support both periodical logging and event-triggered logging. The minimum memory size of MDT logged measurements is 64KB. For eRedCap UE supporting this feature, the minimum memory size of MDT logged measurements is 16KB.",UE,No,No,No
loggedMeasWLAN-r16Indicates whether the UE supports WLAN measurements in RRC_IDLE and RRC_INACTIVE state.,UE,No,No,No
multipleCEF-Report-r17Indicates whether the UE supports the storage and delivery of multiple CEF reports upon request from the network as specified in TS 38.331 [9].,UE,No,No,No
orientationMeasReport-r16Indicates whether the UE supports orientation information reporting upon request from the network.,UE,No,No,No
sigBasedLogMDT-OverrideProtect-r17Indicates whether the UE supports the override protection of the signalling based logged measurements configured in NR.,UE,No,No,No
speedMeasReport-r16Indicates whether the UE supports speed information reporting upon request from the network.,UE,No,No,No
ulPDCP-Delay-r16Indicates whether the UE supports UL PDCP Packet Average Delay measurement (as specified in TS 38.314 [26]) and reporting in RRC_CONNECTED state.,UE,No,No,No
