Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
absoluteTPC-CommandIndicates whether the UE supports absolute TPC command mode.,UE,No,No,Yes
additionalSR-Periodicities-r18Indicates whether the UE supports the following SR periodicities in the periodicityAndOffset parameter as specified in TS 38.331 [9]. The capability signalling comprises the following parameters:-Value scs-30kHz-r18 indicates the support of 5slots for 30 kHz SCS-Value scs-120kHz-r18 indicates the support of 5slots and 10slots for 120 kHz SCS,UE,No,No,No
"advReceiver-MU-MIMO-r18Indicates whether the UE supports R-ML (reduced complexity ML) receivers with enhanced inter-user interference suppression, for MU-MIMO up to maxNumberMIMO-LayersPDSCH layers across target and co-scheduled UEs with 2RX and 4RX antennas, when co-scheduled UE(s)' modulation order is explicitly signalled by DCI index 1-5 in Table 7.3.1.2.2-12 of TS 38.212 [10].NOTE:UE supports R-ML on MU-MIMO on single carrier operation. UE optionally supports R-ML on MU-MIMO on one or more carriers in CA, NE-DC, NR-DC and EN-DC operation.A UE supporting this feature shall also support SU-MIMO Interference Mitigation advanced receiver in clause 5.",UE,No,No,FR1 only
"aggregationFactorSPS-DL-r16Indicates whether the UE supports configurable PDSCH aggregation factor ({1, 2, 4, 8}) per DL SPS configuration. The UE can include this feature only if the UE indicates support of downlinkSPS.",UE,No,No,Yes
almostContiguousCP-OFDM-ULIndicates whether the UE supports almost contiguous UL CP-OFDM transmissions as defined in clause 6.2 of TS 38.101-1 [2].,UE,No,No,Yes
bwp-SwitchingDelayDefines whether the UE supports DCI and timer based active BWP switching delay type1 or type2 specified in clause 8.6.2 of TS 38.133 [5]. It is mandatory to report type 1 or type 2 when bwp-SameNumerology or bwp-DiffNumerology is supported on at least one band. This capability is not applicable to IAB-MT. This capability is optional for NCR-MT.,UE,CY,No,No
"bwp-SwitchingMultiCCs-r16Indicates whether the UE supports incremental delay for DCI and timer based active BWP switching on multiple CCs simultaneously as specified in TS 38.133 [5]. The capability signalling comprises of the following:-type1-r16 indicates the delay value for type 1 BWP switching delay and has values of {100us, 200us}-type2-r16 indicates the delay value for type 2 BWP switching delay and has values of {200us, 400us, 800us, 1000us}The UE indicating support of this feature shall also support bwp-SwitchingDelay, bwp-SameNumerology and/or bwp-DiffNumerology.",UE,No,No,No
"bwp-SwitchingMultiDormancyCCs-r16Indicates whether the UE supports incremental delay for BWP switch processing on additional SCells in DCI based simultaneous dormant BWP switching on multiple SCells as specified in TS 38.133 [5]. The capability signalling comprises of the following:-type1-r16 indicates the delay value for type 1 BWP switching delay and has values of {100us, 200us}-type2-r16 indicates the delay value for type 2 BWP switching delay and has values of {200us, 400us, 800us, 1000us}The UE indicating support of this feature shall also support scellDormancyWithinActiveTime-r16 or scellDormancyOutsideActiveTime-r16.",UE,No,No,No
"bwp-SwitchingMultiDormancyCC-DCI-0-3-And-1-3-r18Indicates whether the UE supports incremental delay for BWP switch processing on additional SCells in DCI based simultaneous dormant BWP switching on multiple SCells while DCI format 0_3/1_3 is used as specified in TS 38.133 [5]. The capability signalling comprises the following parameters:-type1-r18 indicates the delay value for type 1 BWP switching delay and has values of {100µs, 200µs}-type2-r18 indicates the delay value for type 2 BWP switching delay and has values of {200µs, 400µs, 800µs, 1000µs}A UE supporting this feature shall also indicate support of scellDormancyWithinActiveTime-DCI-0-3-And-1-3-r18.",UE,No,No,No
cbg-FlushIndication-DLIndicates whether the UE supports CBG-based (re)transmission for DL using CBG flushing out information (CBGFI) as specified in TS 38.214 [12].,UE,No,No,No
cbg-TransIndication-DLIndicates whether the UE supports CBG-based (re)transmission for DL using CBG transmission information (CBGTI) as specified in TS 38.214 [12].,UE,No,No,No
cbg-TransIndication-ULIndicates whether the UE supports both in-order and out-of-order CBG-based (re)transmission for UL using CBG transmission information (CBGTI) as specified in TS 38.214 [12].,UE,No,No,No
cbg-TransInOrderPUSCH-UL-r16Indicates whether the UE supports CBG-based re-transmission(s) of a TB using CBG transmission information (CBGTI) as specified in TS 38.214 [12] in the following two cases (both are considered as in-order CBG-based retransmission(s)):1.if the initial PUSCH transmission was not cancelled due to gNB scheduling/indication/configuration; and2.if the initial PUSCH transmission was cancelled due to gNB scheduling/indication/configuration and the following condition is satisfied: the UE is scheduled for a re-transmission of a CBG #N in a given TB when CBG #N-1 has been transmitted before or is scheduled in the same UL grant that includes CBG#N.,UE,No,No,No
cg-TimeDomainAllocationExtension-r17Indicates whether UE supports the timeDomainAllocation-v1710 configured in rrc-ConfiguredUplinkGrant to indicate 16 or more entries in PUSCH TDRA table. This field is only applicable if the UE supports both pusch-RepetitionTypeB-r16 and either configuredUL-GrantType1 or configuredUL-GrantType1-v1650.,UE,No,No,No
cli-RSSI-FDM-DL-r16Indicates whether serving cell DL signal/channel (e.g. PDSCH/PDCCH) and CLI-RSSI FDMed reception is supported as specified in TS 38.215 [13].,UE,No,TDD only,Yes
cli-SRS-RSRP-FDM-DL-r16Indicates whether serving cell DL signal/channel (e.g. PDSCH/PDCCH) and SRS-RSRP FDMed reception is supported as specified in TS 38.215 [13].,UE,No,TDD only,Yes
codebookVariantsList-r16Indicates the list of SupportedCSI-RS-Resource applicable to the codebook types supported by the UE.,UE,No,No,No
"configurableType-1A-FieldsForDCI-0-3-And-1-3-r18Indicates whether the UE supports Type-1A for 'Antenna port(s)' field for DCI format 1_3 and Type-1A for 'Antenna port(s)', 'Precoding information and number of layers' and 'SRS resource indicator' fields for DCI format 0_3.A UE supporting this feature shall also indicate support of at least one of multiCell-PDSCH-DCI-1-3-SameSCS-r18, multiCell-PDSCH-DCI-1-3-DiffSCS-r18, multiCell-PUSCH-DCI-0-3-SameSCS-r18 or multiCell-PUSCH-DCI-0-3-DiffSCS-r18.",UE,No,No,No
"configurableType-1A-FieldsForDCI-0-3-And-1-3-Diff-r19Indicates whether the UE supports Type-1A for 'Antenna port(s)' field for DCI format 1_3 and Type-1A for 'Antenna port(s)', 'Precoding information and number of layers' and 'SRS resource indicator' fields for DCI format 0_3 with different SCS and/or different carrier type.A UE supporting this feature shall also indicate support of at least one of multiCell-PDSCH-DCI-1-3-DiffSCS-DiffCC-r19 and multiCell-PUSCH-DCI-0-3-DiffSCS-DiffCC-r19.",UE,No,No,No
"configuredUL-GrantType1Indicates whether the UE supports Type 1 PUSCH transmissions with configured grant as specified in TS 38.214 [12] with UL-TWG-repK value of one. This applies only to non-shared spectrum channel access. For shared spectrum channel access, configuredUL-GrantType1-r16 applies.",UE,No,No,No
"configuredUL-GrantType2Indicates whether the UE supports Type 2 PUSCH transmissions with configured grant as specified in TS 38.214 [12] with UL-TWG-repK value of one. This applies only to non-shared spectrum channel access. For shared spectrum channel access, configuredUL-GrantType2-r16 applies.",UE,No,No,No
"cqi-4-BitsSubbandTN-NonSharedSpectrumChAccess-r17Indicates whether the UE supports subband CQI reporting with 4 bits per subband for TN and non-shared spectrum channel access. In this release, the same value shall be indicated for the frequency ranges.",UE,No,No,Yes
cqi-TableAltIndicates whether UE supports the CQI table with target BLER of 10^-5.,UE,No,No,Yes
cri-RI-CQI-WithoutNon-PMI-PortInd-r16Indicates whether UE supports CSI-ReportConfig with the reportQuantity set to 'cri-RI-CQI' and the non-PMI-PortIndication is not configured.UE indicating support of this feature shall also indicate support of csi-ReportFramework.,UE,No,No,Yes
"crossSlotScheduling-r16Indicates whether UE supports dynamic indication of applicable minimum scheduling restriction by DCI format 0_1 and 1_1, and the minimum scheduling offset for PDSCH and aperiodic CSI-RS triggering offset (K0), and PUSCH (K2), and the extended value range for aperiodic CSI-RS triggering offset. Support of this feature is reported for licensed and unlicensed bands, respectively. When this field is reported, either of non-SharedSpectrumChAccess-r16 or sharedSpectrumChAccess-r16 shall be reported, at least.",UE,No,No,No
"csi-ReportFrameworkSee csi-ReportFramework in 4.2.7.2. For a band combination comprised of FR1 and FR2 bands, this parameter, if present, limits the corresponding parameter in MIMO-ParametersPerBand.",UE,Yes,No,N/A
"csi-ReportFrameworkExt-r16See csi-ReportFramework in 4.2.7.2. For a band combination comprised of FR1 and FR2 bands, this parameter, if present, limits the corresponding parameter in MIMO-ParametersPerBand.",UE,No,No,N/A
csi-ReportWithoutCQIIndicates whether UE supports CSI reporting with report quantity set to 'CRI/RI/i1' as defined in clause 5.2.1.4 of TS 38.214 [12].,UE,No,No,Yes
csi-ReportWithoutPMIIndicates whether UE supports CSI reporting with report quantity set to 'CRI/RI/CQI' as defined in clause 5.2.1.4 of TS 38.214 [12].,UE,No,No,Yes
"csi-RS-CFRA-ForHOIndicates whether the UE can perform reconfiguration with sync using a contention free random access with 4-step RA type on PRACH resources that are associated with CSI-RS resources of the target cell. This applies only to non-shared spectrum channel access. For shared spectrum channel access, csi-RS-CFRA-ForHO-r16 applies.",UE,No,No,No
"csi-RS-IM-ReceptionForFeedbackSee csi-RS-IM-ReceptionForFeedback in 4.2.7.2. For a band combination comprised of FR1 and FR2 bands, this parameter, if present, limits the corresponding parameter in MIMO-ParametersPerBand.",UE,Yes,No,N/A
"csi-RS-ProcFrameworkForSRSSee csi-RS-ProcFrameworkForSRS in 4.2.7.2. For a band combination comprised of FR1 and FR2 bands, this parameter, if present, limits the corresponding parameter in MIMO-ParametersPerBand.",UE,No,No,N/A
csi-TriggerStateNon-ActiveBWP-r16Indicates whether the UE supports CSI trigger states containing non-active BWP.,UE,No,No,No
dci-DL-PriorityIndicator-r16Indicates whether the UE supports the priority indicator field configured in DCI formats 1_1 and 1_2 in a BWP when configured to monitor both DCI formats 1_1 and 1_2 in the BWP.,UE,No,No,No
dci-Format1-2And0-2-r16Indicates whether the UE supports monitoring DCI format 1_2 for DL scheduling and monitoring DCI format 0_2 for UL scheduling.,UE,No,No,No
