Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
"bandEUTRADefines supported EUTRA frequency band by EUTRA frequency band number, as specified in TS 36.101 [14].",Band,Yes,N/A,N/A
bandListEach entry of the list should include at least one bandwidth class for UL or DL.,BC,Yes,N/A,N/A
"bandNRDefines supported NR frequency band by NR frequency band number, as specified in TS 38.101-1 [2] and TS 38.101-2 [3].",Band,Yes,N/A,N/A
"ca-BandwidthClassDL-EUTRADefines for DL, the class defined by the aggregated transmission bandwidth configuration and maximum number of component carriers supported by the UE, as specified in TS 36.101 [14]. When all FeatureSetEUTRA-DownlinkId:s in the corresponding FeatureSetsPerBand are zero, this field is absent.",Band,No,N/A,N/A
"ca-BandwidthClassDL-NRDefines for DL, the class defined by the aggregated transmission bandwidth configuration and maximum number of component carriers supported by the UE, as specified in TS 38.101-1 [2] and TS 38.101-2 [3]. When all FeatureSetDownlinkId:s in the corresponding FeatureSetsPerBand are zero, this field is absent. For FR1, the value 'F' shall not be used as it is invalidated in TS 38.101-1 [2].",Band,No,N/A,N/A
"ca-BandwidthClassDL-NR-r17Defines for DL, additional FR2 CA bandwidth class (e.g., R, S, T, U ) as specified in TS 38.101-2 [3]. When all FeatureSetDownlinkId:s in the corresponding FeatureSetsPerBand are zero, this field is absent.If this field is indicated for a band, the UE shall also set ca-BandwidthClassDL-NR (without suffix) to the highest bandwidth class from the same fallback group that it supports in this band combination and with the given bandwidth combination set ID in case that the bandwidth combination consists of a sub-set of carriers and the same or a sub-set of carrier bandwidths on those carriers with respect to the bandwidth combination corresponding to ca-BandwidthClassDL-NR-r17; otherwise, it shall omit the ca-BandwidthClassDL-NR (without suffix) field.NOTE:If the UE includes ca-BandwidthClassDL-NR-r17 in a BandParameter the network ignores the ca-BandwidthClassDL-NR therein, if signalled.",Band,No,N/A,FR2 only
"ca-BandwidthClassUL-EUTRADefines for UL, the class defined by the aggregated transmission bandwidth configuration and maximum number of component carriers supported by the UE, as specified in TS 36.101 [14]. When all FeatureSetEUTRA-UplinkId:s in the corresponding FeatureSetsPerBand are zero, this field is absent.",Band,No,N/A,N/A
"ca-BandwidthClassUL-NRDefines for UL, the class defined by the aggregated transmission bandwidth configuration and maximum number of component carriers supported by the UE, as specified in TS 38.101-1 [2] and TS 38.101-2 [3]. When all FeatureSetUplinkId:s in the corresponding FeatureSetsPerBand are zero, this field is absent. For FR1, the value 'F' shall not be used as it is invalidated in TS 38.101-1 [2].",Band,No,N/A,N/A
"ca-BandwidthClassUL-NR-r17Defines for UL, additional FR2 CA bandwidth class (e.g., R, S, T, U ) as specified in TS 38.101-2 [3]. When all FeatureSetUplinkId:s in the corresponding FeatureSetsPerBand are zero, this field is absent.If this field is indicated for a band, the UE shall also set ca-BandwidthClassUL-NR (without suffix) to the highest bandwidth class from the same fallback group that it supports in this band combination and with the given bandwidth combination set ID in case that the bandwidth combination consists of a sub-set of carriers and the same or a sub-set of carrier bandwidths on those carriers with respect to the bandwidth combination corresponding to ca-BandwidthClassUL-NR-r17; otherwise, it shall omit the ca-BandwidthClassUL-NR (without suffix) field.NOTE:If the UE includes ca-BandwidthClassUL-NR-r17 in a BandParameter the network ignores the ca-BandwidthClassUL-NR therein, if signalled.",Band,No,N/A,FR2 only
ca-ParametersEUTRAContains the EUTRA part of band combination parameters for a given (NG)EN-DC/NE-DC band combination.,BC,No,N/A,N/A
