Definitions for parameters,Per,M,FDD-TDD DIFF,FR1-FR2 DIFF
onDemandSI-Report-r17Indicates whether the UE supports delivery of on-Demand SI information upon request from the network as specified in TS 38.331 [9].,UE,No,No,No
pscell-MHI-Report-r17Indicates whether the UE supports the storage of PSCell mobility history information and the reporting in UEInformationResponse message as specified in TS 38.331 [9].,UE,No,No,No
rach-Report-r16Indicates whether the UE supports delivery of RA report upon request from the network.,UE,No,No,No
rlfReportCHO-r17Indicates whether the UE supports RLF-Report for conditional handover.,UE,No,No,No
rlfReportCondHandoverWithCandSCG-r19Indicates whether the UE supports RLF-Report for conditional handover with candidate SCG. A UE supporting this feature shall also indicate support rlfReportCHO-r17.,UE,No,No,No
rlfReportDAPS-r17Indicates whether the UE supports RLF-Report for DAPS handover.,UE,No,No,No
rlfReportLTM-r19Indicates whether the UE supports RLF-Report for MCG LTM.,UE,No,No,No
spr-Report-r18Indicates whether the UE supports the storage and delivery of Successful PScell Change/Addition Report upon request from the network.,UE,No,No,No
success-HO-Report-r17Indicates whether the UE supports the storage and delivery of Successful Handover Report upon request from the network as specified in TS 38.331 [9].,UE,No,No,No
"successIRAT-HO-Report-r18Indicates whether the UE supports the storage and delivery of Successful Handover Report for Handover from NR to E-UTRA, upon request from the network.",UE,No,No,No
twoStepRACH-Report-r17Indicates whether the UE supports the storage and delivery of 2-step RACH related information upon request from the network as specified in TS 38.331 [9].,UE,No,No,No
