Reported value,Measured quantity value,Unit
SRS_RSRP_0,SRS-RSRP<-156,dBm
SRS_RSRP_1,-156≤SRS-RSRP<-155,dBm
SRS_RSRP_2,-155≤SRS-RSRP<-154,dBm
SRS_RSRP_3,-154≤SRS-RSRP<-153,dBm
SRS_RSRP_4,-153≤SRS-RSRP<-152,dBm
SRS_RSRP_5,-152≤SRS-RSRP<-151,dBm
SRS_RSRP_6,-151≤SRS-RSRP<-150,dBm
SRS_RSRP_7,-150≤SRS-RSRP<-149,dBm
SRS_RSRP_8,-149≤SRS-RSRP<-148,dBm
SRS_RSRP_9,-148≤SRS-RSRP<-147,dBm
SRS_RSRP_10,-147≤SRS-RSRP<-146,dBm
SRS_RSRP_11,-146≤SRS-RSRP<-145,dBm
SRS_RSRP_12,-145≤SRS-RSRP<-144,dBm
SRS_RSRP_13,-144≤SRS-RSRP<-143,dBm
SRS_RSRP_14,-143≤SRS-RSRP<-142,dBm
SRS_RSRP_15,-142≤SRS-RSRP<-141,dBm
SRS_RSRP_16,-141≤SRS-RSRP<-140,dBm
SRS_RSRP_17,-140≤SRS-RSRP<-139,dBm
SRS_RSRP_18,-139≤SRS-RSRP<-138,dBm
…,…,…
SRS_RSRP_111,-46≤SRS-RSRP<-45,dBm
SRS_RSRP_112,-45≤SRS-RSRP<-44,dBm
SRS_RSRP_113,-44≤SRS-RSRP<-43,dBm
SRS_RSRP_114,-43≤SRS-RSRP<-42,dBm
SRS_RSRP_115,-42≤SRS-RSRP<-41,dBm
SRS_RSRP_116,-41≤SRS-RSRP<-40,dBm
SRS_RSRP_117,-40≤SRS-RSRP<-39,dBm
SRS_RSRP_118,-39≤SRS-RSRP<-38,dBm
SRS_RSRP_119,-38≤SRS-RSRP<-37,dBm
SRS_RSRP_120,-37≤SRS-RSRP<-36,dBm
SRS_RSRP_121,-36≤SRS-RSRP<-35,dBm
SRS_RSRP_122,-35≤SRS-RSRP<-34,dBm
SRS_RSRP_123,-34≤SRS-RSRP<-33,dBm
SRS_RSRP_124,-33≤SRS-RSRP<-32,dBm
SRS_RSRP_125,-32≤SRS-RSRP<-31,dBm
SRS_RSRP_126,-31≤SRS-RSRP,dBm
