Reported value,Measured quantity value,Unit
SRS_TDCP_000,SRS-TDCP < -156,dBm
SRS_TDCP_001,-156 ≤ SRS-TDCP < -155,dBm
SRS_TDCP_002,-155 ≤ SRS-TDCP < -154,dBm
SRS_TDCP_003,-154 ≤ SRS-TDCP < -153,dBm
SRS_TDCP_004,-153 ≤ SRS-TDCP < -152,dBm
SRS_TDCP_005,-152 ≤ SRS-TDCP < -151,dBm
SRS_TDCP_006,-151 ≤ SRS-TDCP < -150,dBm
SRS_TDCP_007,-150 ≤ SRS-TDCP < -149,dBm
SRS_TDCP_008,-149 ≤ SRS-TDCP < -148,dBm
SRS_TDCP_009,-148 ≤ SRS-TDCP < -147,dBm
SRS_TDCP_010,-147 ≤ SRS-TDCP < -146,dBm
SRS_TDCP_011,-146 ≤ SRS-TDCP < -145,dBm
SRS_TDCP_012,-145 ≤ SRS-TDCP < -144,dBm
SRS_TDCP_013,-144 ≤ SRS-TDCP < -143,dBm
SRS_TDCP_014,-143 ≤ SRS-TDCP < -142,dBm
SRS_TDCP_015,-142 ≤ SRS-TDCP < -141,dBm
SRS_TDCP_016,-141 ≤ SRS-TDCP < -140,dBm
SRS_TDCP_017,-140 ≤ SRS-TDCP < -139,dBm
SRS_TDCP_018,-139 ≤ SRS-TDCP < -138,dBm
…,…,…
SRS_TDCP_111,-46 ≤ SRS-TDCP < -45,dBm
SRS_TDCP_112,-45 ≤ SRS-TDCP < -44,dBm
SRS_TDCP_113,-44 ≤ SRS-TDCP < -43,dBm
SRS_TDCP_114,-43 ≤ SRS-TDCP < -42,dBm
SRS_TDCP_115,-42 ≤ SRS-TDCP < -41,dBm
SRS_TDCP_116,-41 ≤ SRS-TDCP < -40,dBm
SRS_TDCP_117,-40 ≤ SRS-TDCP < -39,dBm
SRS_TDCP_118,-39 ≤ SRS-TDCP < -38,dBm
SRS_TDCP_119,-38 ≤ SRS-TDCP < -37,dBm
SRS_TDCP_120,-37 ≤ SRS-TDCP < -36,dBm
SRS_TDCP_121,-36 ≤ SRS-TDCP < -35,dBm
SRS_TDCP_122,-35 ≤ SRS-TDCP < -34,dBm
SRS_TDCP_123,-34 ≤ SRS-TDCP < -33,dBm
SRS_TDCP_124,-33 ≤ SRS-TDCP < -32,dBm
SRS_TDCP_125,-32 ≤ SRS-TDCP < -31,dBm
SRS_TDCP_126,-31 ≤ SRS-TDCP,dBm
