Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
Assumption for UE beamsNote 4,,,Rough,,,Rough,,
TDD configuration,,1,TDDConf.3.1,,,TDDConf.3.1,,
BWchannel,MHz,1,"100: NPRB,c = 66",,,"100: NPRB,c = 66",,
Data PRBs allocated,,1,24,,,24,,
PDSCH RMC configuration,,1,SR.3.1 TDD,,,N/A,,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,,CR.3.1 TDD,,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,,CCR.3.1 TDD,,
TRS configuration,,1,TRS.2.1 TDD,,,N/A,,
PDSCH/PDCCH TCI state,,1,TCI.State.2,,,N/A,,
OCNG Pattern,,1,OP.1 defined in A.3.2.1,,,OP.1 defined in A.3.2.1,,
Initial DL BWP configuration,,1,DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,1,ULBWP.0.1,,,ULBWP.0.1,,
RLM-RS,,1,SSB,,,SSB,,
AoA setup,,1,Setup 1 defined in clause A.3.15.1,,,Setup 1 defined in clause A.3.15.1,,
,dB,1,-0.12,-infinity,-infinity,-3.46,2,2
Note2,dBm/15 kHz,1,-104.7,,,,,
Note2,dBm/SCS,1,-95.7,,,,,
,dB,1,4,-infinity,-infinity,2,2,2
SS-RSRP Note3,dBm/SCS,1,-91.7,-infinity,-infinity,-93.7,-93.7,-93.7
Io,dBm/95.04 MHz,1,-64.00,-66.95,-66.95,-64.00,-66.95,-66.95
Propagation Condition,,1,AWGN,,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in annex B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,,
