Parameter,Unit,Cell 1,,
,,T1,T2,T3
E-UTRA RF Channel number,,1,,
BWchannel,MHz,10,,
OCNG Patterns defined in TS 36.133 [15] clause A.3.2,,"OP.2 FDD for test configuration 1, 2, 3, 7;OP.2 TDD for test configuration 4, 5, 6, 8",,
PBCH_RA,dB,0,,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
PCFICH_RB,dB,,,
PHICH_RA,dB,,,
PHICH_RB,dB,,,
PDCCH_RA,dB,,,
PDCCH_RB,dB,,,
PDSCH_RA,dB,,,
PDSCH_RB,dB,,,
OCNG_RANote 1,dB,,,
OCNG_RBNote 1,dB,,,
Qrxlevmin,dBm,-140,,
Note 2,dBm/15 kHz,-98,,
RSRP Note 3,dBm/15 KHz,-84,-84,-84
,dB,14,14,14
,dB,14,14,14
TreselectionEUTRAN,S,0,,
SnonintrasearchP,dB,50,,
"Threshx, highP",dB,48,,
"Threshserving, lowP",dB,44,,
"Threshx, lowP",dB,50,,
Propagation Condition,,AWGN,,
Antenna Configuration,,1x2,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,
