Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2, 3, 4, 5, 6, 7, 8",Cell 2,The UE camps on Cell 2 in the initial phase
,Neighbour cell,,"1, 2, 3, 4, 5, 6, 7, 8",Cell 1,
T1 end condition,Active cell,,,Cell 1,During T1 period the UE reselects to Cell 1
,Neighbour cell,,,Cell 2,
T3 end condition,Active cell,,"1, 2, 3, 4, 5, 6, 7, 8",Cell 2,The UE shall perform reselection to Cell 2 during T3
,Neighbour cell,,"1, 2, 3, 4, 5, 6, 7, 8",Cell 1,
RF Channel Number,,,"1, 2, 3, 4, 5, 6, 7, 8","1, 2",E-UTRAN radio channel (1) and NR radio channel (2) are used for this test
Time offset between cells,,,"1, 4, 7, 8",3 ms,Asynchronous cells
,,,"2, 5",3 s,Synchronous cells
,,,"3, 6",3 s,Synchronous cells
Access Barring Information,,-,"1, 2, 3, 4, 5, 6, 7, 8",Not Sent,No additional delays in random access procedure.
DRX cycle length,,s,"1, 2, 3, 4, 5, 6, 7, 8",1.28,The value shall be used for all cells in the test.
NR PRACH configuration index,,,"1, 2, 3, 4, 5, 6, 7, 8",102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
T1,,s,"1, 2, 3, 4, 5, 6, 7, 8",15,T1 needs to be defined so that cell re-selection reaction time is taken into account.
T2,,s,"1, 2, 3, 4, 5, 6, 7, 8",>7,"During T2, Cell 2 shall be powered off, and during the off time the physical cell identity shall be changed. The intention is to ensure that Cell 2 has not been detected by the UE prior to the start of period T3."
T3,,s,"1, 2, 3, 4, 5, 6, 7, 8",75,T3 needs to be defined so that cell re-selection reaction time is taken into account.
