Parameter,,Unit,Test configuration,Cell 1,,Cell 2,
,,,,T1,T2,T1,T2
AoA setup,,,Config 1,Setup 1 as specified in clause A.3.15,,,
Beam AssumptionNote 7,,,Config 1,Rough,,Rough,
TDD configuration,,,Config 1,TDDConf.3.1,,TDDConf.3.1,
Duplex mode,,,Config 1,TDD,,TDD,
BWchannel,,MHz,Config 1,"400: NRB,c = 264",,"400: NRB,c = 264",
BWP configuration,Initial DL BWP,,Config 1,DLBWP.0.1,,N/A,
,Initial UL BWP,,,ULBWP.0.1,,N/A,
,Dedicated DL BWP,,,DLBWP.1.1,,N/A,
,Dedicated UL BWP,,,ULBWP.1.1,,N/A,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,Config 1,OP.1,,OP.1,
PDSCH Reference measurement channel,,,Config 1,SR.3.1 TDD,,-,
CORESET Reference Channel,,,Config 1,CR.3.1 TDD,,-,
Dedicated CORESET RMC configuration,,,Config 1,CCR.3.1 TDD,,-,
TRS configuration,,,Config 1,TRS.2.1 TDD,,-,
PDSCH/PDCCH subcarrier spacing,,kHz,Config 1,120,,120,
PRS configuration,,,Config 1,PRS.1.6 FR2,,PRS.1.6 FR2,
PRS muting configuration,,,Config 1,‘10’,,‘01’,
EPRE ratio of PSS to SSS,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,Config 1,0,,0,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,,dBm/15kHz Note5,,-98,,-98,
Note2,,dBm/SCS Note4,Config 1,-89,,-89,
SSB_RP Note 3,,dBm/SCS Note5,Config 1,-91,-91,-Infinity,-99
PRP Note 3,,dBm/SCS Note5,Config 1,-Infinity,-91,-Infinity,-99
PRS,,dB,Config 1,-Infinity,-2.41,-Infinity,-12.12
PRS,,dB,Config 1,-Infinity,-2,-Infinity,-10
SSB,,dB,Config 1,-2,-2,-Infinity,-10
IoNote3,,dBm/ 380.16MHz Note5,Config 1,-53.99,-51.61,-53.99,-51.61
Propagation Condition,,,Config 1,AWGN,,,
"NOTE 1:OCNG shall be used such that active cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the subframes with transmitted PRS.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SSB_RP/PRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:PRS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone.NOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zone.NOTE 7:Information about types of UE beam is given in annex B.2.1.3, and does not limit UE implementation or test system implementation.NOTE 8:Calculation of Es/Iot includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] table 6.2.1.3-4.",,,,,,,
