Parameter,,Unit,Test configuration,Cell 2,
,,,,T1,T2
AoA setup defined in clause A.3.15.1,,,"1, 2",Setup 1,
Assumption for UE beamsNote 5,,,"1, 2",Rough,
NR RF Channel Number,,,"1, 2",1,
Duplex mode,,,"1, 2",TDD,
TDD configuration,,,"1, 2",TDDConf.3.1,
BWchannel,,MHz,"1, 2","100: NPRB,c = 66",
OCNG patterns defined in A.3.2.1.1,,,"1, 2",OP.1,
SMTC configuration defined in A.3.11.1 and A.3.11.2,,,1,SMTC.2,
,,,2,SMTC.1,
PDSCH/PDCCH subcarrier spacing,,kHz,"1, 2",120,
b1-ThresholdNR,UE power class 3,dBm/SCS,"1, 2",-106,
EPRE ratio of PSS to SSS,,,"1, 2",0,
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,
EPRE ratio of OCNG DMRS to SSS (Note 1),,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,
Note2,,dBm/15 kHz,"1, 2",-104.7,
Note2,,dBm/SCS,"1, 2",-95.7,
SS-RSRP Note 3,,dBm/SCS,"1, 2",-Infinity,-87.7
,,dB,"1, 2",-Infinity,8
,,dB,"1, 2",-Infinity,8
IoNote3,,dBm/95.04 MHz,"1, 2",-66.7,-58. 0
Propagation Condition,,,"1, 2",AWGN,
"NOTE 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:Information about types of UE beam is given in annex B.2.1.3, and does not limit UE implementation or test system implementation",,,,,
