Parameter,Unit,Test configuration,Value,,Comment
,,,Test 1,Test 2,
NR RF Channel Number,,Config 1,"1, 2",,Two FR2 NR carrier frequencies is used.
Active cell,,Config 1,NR Cell 1 (Pcell),,NR Cell 1 is on NR RF channel number 1.
Neighbour cell,,Config 1,NR Cell 2,,NR Cell 2 is on NR RF channel number 2.
Gap Pattern Id,,Config 1,13,,As specified in clause 9.1.2-1.
Measurement gap offset,,Config 1,39,,
SMTC-SSB parameters,,Config 1,SSB.3 FR2,,As specified in clause A.3.10.2
A3-Offset,dB,Config 1,-6,,
Hysteresis,dB,Config 1,0,,
CP length,,Config 1,Normal,,
TimeToTrigger,s,Config 1,0,,
Filter coefficient,,Config 1,0,,L3 filtering is not used
DRX,,Config 1,DRX.1,DRX.7,As specified in clause A.3.3
Time offset between serving and neighbour cells,,Config 1,3s,,Synchronous cells.
T1,s,Config 1,5,,
T2,s,Config 1,11 for PC1; 6.5 for other PC,108 for PC1; 67 for other PC,
