Parameter,Unit,Cell 1,Cell 2
Cell ID,,489,0
SSB ARFCN,,freq1,
Duplex mode,,TDD,
TDD configuration,,TDDConf.3.1,
BWchannel,MHz,"400: NRB,c = 264",
Downlink initial BWP configuration,,DLBWP.0.1,-
Uplink initial BWP configuration,,ULBWP.0.1,-
DRX cycle configuration,ms,640,
TRS configuration,,TRS.2.1 TDD,-
TCI state,,TCI.State.0,-
PDSCH Reference measurement channel,,SR.3.1 TDD,-
RMSI CORESET Reference Channel,,CR.3.1 TDD,-
Control channel RMC,,CCR.3.1 TDD,-
OCNG Patterns,,OP.3,OP.3
SSB configuration,,SSB.3 RedCap FR2,SSB.3 RedCap FR2
SMTC configuration,,SMTC.1,SMTC.1
Time offset with Cell 1,s,-,3
PRS configuration,,PRS.1.6 FR2,PRS.1.6 FR2
PRS Resource slot offset,slot,0,4
PDSCH/PDCCH subcarrier spacing,kHz,120,120
EPRE ratio of PSS to SSS,dB,0,0
EPRE ratio of PBCH_DMRS to SSS,,,
EPRE ratio of PBCH to PBCH_DMRS,,,
EPRE ratio of PDCCH_DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,
EPRE ratio of PDSCH_DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation conditions,,Two-tap channel  Note 2,
Antenna configuration,,1x2,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:The two-tap channel model is defined in TS 38.101-4 annex B.2.4 (a = 1, τd=0.45 µs and fD=5 Hz).",,,
