Parameter,,Unit,Configuration,Cell 2,,
,,,,T1,T2,T3
RF channel number,,,"1, 2, 3, 4, 5, 6, 7, 8",1,,
Duplex mode,,,"1, 5",FDD,,
,,,"2, 3, 6, 7",TDD,,
,,,"4,8",HD-FDD,,
TDD Configuration,,,"2, 6",TDDConf.1.1,,
,,,"3, 7",TDDConf.2.1,,
BWchannel,,MHz,"1, 4,5,8","10: NPRB,c = 52 (FDD)",,
,,,"2, 6","10: NPRB,c = 52 (TDD)",,
,,,"3, 7","20: NPRB,c = 51 (TDD)",,
PDSCH reference measurement channel,,,"1, 4,5,8",SR.1.1 FDD,,
,,,"2, 6",SR.1.1 TDD,,
,,,"3, 7",SR.2.1 TDD,,
CORSET reference channel,,,"1, 4,5,8",CR.1.1 FDD,,
,,,"2, 6",CR.1.1 TDD,,
,,,"3, 7",CR.2.1 TDD,,
PRACH configuration,,,"1, 2, 3, 4, 5, 6, 7, 8",FR1 PRACH configuration 1,,
OCNG patternNote1,,,"1, 2, 3, 4, 5, 6, 7, 8",OP.1,,
BWP,Initial DL BWP,,"1, 2, 3, 4, 5, 6, 7, 8",DLBWP.0.1,,
,Dedicated DL BWP,,,DLBWP.1.1,,
,Initial UL BWP,,,ULBWP.0.1,,
,Dedicated UL BWP,,,ULBWP.1.1,,
SMTC configuration,,,"1, 2, 3, 4, 5, 6, 7, 8",SMTC.2,,
SSB configuration,,,"1,2,4,5,6,8",SSB.4 RedCap FR1,,
,,,"3,7",SSB.2 RedCap FR1,,
b2-Threshold2NR,,dBm,"1,2,4,5,6,8",-106,,
,,,"3,7",-103,,
EPRE ratio of PSS to SSS,,dB,"1, 2, 3, 4, 5, 6, 7, 8",0,,
EPRE ratio of PBCH_DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,,
NocNote2,,dBm/15 KHz,"1, 2, 3, 4, 5, 6, 7, 8",-98,,
NocNote2,,dBm/SCS,"1,2,4,5,6,8",-98,,
,,,"3,7",-95,,
Ês/Noc,,dB,"1, 2, 3, 4, 5, 6, 7, 8",-inifinity,0,0
Ês/IotNote3,,dB,"1, 2, 3, 4, 5, 6, 7, 8",-inifinity,0,0
SS-RSRPNote3,,dBm/SCS,"1, 2, 4, 5, 6,8",-inifinity,-98,-98
,,,"3, 7",-inifinity,-95,-95
IoNote3,,dBm/9.36 MHz,"1, 2, 4, 5, 6,8",-70.05,-67.04,-67.04
,,dBm/18.36 MHz,"3, 7",-67.13,-60.94,-64.12
Propagation condition,,,"1, 2, 3, 4, 5, 6, 7, 8",AWGN,,
Antenna Configuration and Correlation Matrix,,,"1, 2, 3, 4, 5, 6, 7, 8",1x2 Low,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 3:Ês/Iot, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,
