Parameter,Unit,Test configuration,Cell 1,Cell 2
AoA setup,,1,Setup 1 as specified in clause A.3.15,
BWchannel,MHz,1,"100: NRB,c = 66",
Beam AssumptionNote 6,,1,Rough,Rough
Measurement gap,,1,GP#24 or GP#13 Note 7,
DRX,,1,OFF,
Time offset with Cell 1,s,1,N/A,3
TDD configuration,,1,TDDConf.3.1,TDDConf.3.1
PDSCH RMC configuration,,1,SR.3.1 TDD,N/A
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,N/A
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,N/A
OCNG Patterns,,1,OP.1,OP.1
EPRE ratio of PSS to SSS,dB,1,0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSS,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,
EPRE ratio of PRS to SSS,,,,
TRS Configuration,,1,TRS.2.1 TDD,N/A
Initial BWP configuration,,1,DLBWP.0.1 ULBWP.0.1,N/A
Active DL BWP configuration,,1,DLBWP.1.1 RedCap,N/A
Active UL BWP configuration,,1,ULBWP.1.1 RedCap,N/A
PRS configuration,,1,PRS.1.5 FR2,PRS.1.5 FR2
PRS Resource slot offset,slot,1,0,4
SRS configuration,,1,POS-SRS.3,N/A
Note 1,dBm/SCS,1,-89,
Note 1,dBm/15 kHz,1,-98,
PRS,dB,1,-2.41,-12.12
PRS,dB,1,-2,-10
PRP Note 2,dBm/SCS kHz,1,-91,-99
Io,dBm/92.16 MHz,1,-57.6,-57.6
Propagation Condition,,1,AWGN,
"NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over sub-carriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:PRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:PRS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone.NOTE 5:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 6:Information about types of UE beam is given in annex B.2.1.3, and does not limit UE implementation or test system implementation.NOTE 7:GP#24 is configured if UE supports MG#24, otherwise GP#13 is configured.NOTE 8:Calculation of Es/Iot includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] table 6.2.1.3-4.",,,,
