Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,1,1: Cell 1 and Cell 2,One TDD carrier frequency is used for the NR cells.
Active cell,,1,NR cell 1 (Pcell),Cell 1 is the PCell and the DL-AoD reference cell in the positioning assistance data.
Neighbour cell,,1,NR cell 2,Cell 2 is a neighbour cell in the positioning assistance data.
Gap Pattern Id,,1,GP#13 or GP#24Note1,As specified in clause 9.1.2-1.
Measurement gap offset,,1,39,
SMTC parameters,,1,SMTC.1,As specified in clause A.3.11
SSB parameters,,1,SSB.3 FR2,As specified in clause A.3.10.2
A3-Offset,dB,1,-6,
Hysteresis,dB,1,0,
CP length,,1,Normal,
TimeToTrigger,s,1,0,
Filter coefficient,,1,0,L3 filtering is not used
DRX,,1,OFF,DRX is not used
Time offset between serving and neighbour cells,,1,3ms,Synchronous cells.
Expected RSTD,ms,1,3,
Expected RSTD uncertainty,ms,1,5,
T1,s,1,5,
T2,s,1,7,
"NOTE 1: GP#24 is configured if UE supports MG#24, otherwise GP#13 is configured.",,,,
