Parameter,Unit,Test configuration,Cell 2,
,,,T1,T2
NR RF Channel Number,,"1, 2, 3, 4, 5, 6, 7, 8",1,
Duplex mode,,"1, 4",FDD,
,,"2, 3, 5, 6",TDD,
,,"7, 8",HD-FDD,
TDD configuration,,"2, 5",TDDConf.1.1,
,,"3, 6",TDDConf.2.1,
BWchannel,MHz,"1, 2, 4, 5, 7, 8","10: NPRB,c = 52",
,,"3, 6","20: NPRB,c = 51",
OCNG Patterns defined in A.3.2.1.1 (OP.1),,"1, 2, 3, 4, 5, 6, 7, 8",OP.1,
SMTC configuration defined in A.3.11.1 and A.3.11.2,,"1, 4, 7, 8",SMTC.2,
,,"2, 3, 5, 6",SMTC.1,
PDSCH/PDCCH subcarrier spacing,kHz,"1, 2, 4, 5",15,
,,"3, 6",30,
b2-Threshold2NR,dBm/SCS,"1, 2, 4, 5, 7, 8",-101,
,,"3, 6",-98,
EPRE ratio of PSS to SSS,,"1, 2, 3, 4, 5, 6, 7, 8",0,
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH,,,,
EPRE ratio of OCNG DMRS to SSS (Note 1),,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,
Note2,dBm/15 kHz,"1, 2, 3, 4, 5, 6, 7, 8",-98,
Note2,dBm/SCS,"1, 2, 4, 5, 7, 8",-98,
,,"3, 6",-95,
SS-RSRP Note 3,dBm/SCS,"1, 2, 4, 5, 7, 8",-Infinity,-91
,,"3, 6",-Infinity,-88
,dB,"1, 2, 3, 4, 5, 6, 7, 8",-Infinity,7
,dB,"1, 2, 3, 4, 5, 6, 7, 8",-Infinity,7
IoNote3,dBm/9.36 MHz,"1, 2, 4, 5, 7, 8",-70.05,-62.26
,dBm/18.36 MHz,"3, 6",-67.13,-59.34
Propagation Condition,,"1, 2, 3, 4, 5, 6, 7, 8",AWGN,
Antenna Configuration and Correlation Matrix,,"1, 2, 3, 4, 5, 6, 7, 8",1x2,
NOTE 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.,,,,
