Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,Config 1,1: Cell 1 and Cell 2,One TDD carrier frequency is used for the NR cells.
Active cell,,Config 1,NR cell 1 (Pcell),Cell 1 is the PCell and the DL-AoD reference cell in the positioning assistance data.
Neighbour cell,,Config 1,NR cell 2,Cell 2 is a neighbour cell in the positioning assistance data.
SMTC parameters,,Config 1,SMTC.1,As specified in clause A.3.11
SSB parameters,,Config 1,SSB.3 FR2,As specified in clause A.3.10.2
CP length,,Config 1,Normal,
DRX,s,Config 1,0.64,ON
Time offset between serving and neighbour cells,s,Config 1,3,Synchronous cells.
Expected RSTD,s,Config 1,3,
Expected RSTD uncertainty,s,Config 1,5,
PRS RX hopping request,,Config 1,NOT present,
T1,s,Config 1,5,
T2,s,Config 1,7,
