Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,"1, 2",TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,"1, 2","100: NPRB,c = 66",,"100: NPRB,c = 66",
Data PRBs allocated,,1,24,,24,
,,2,48,,48,
Intial BWP configuration,,"1, 2",DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Dedicated DL BWP configuration,,"1, 2",DLBWP.1.3 RedCap Note 1,,DLBWP.1.3 RedCap Note 1,
Dedicated UL BWP configuration,,"1, 2",ULBWP.1.3 RedCap Note 2,,ULBWP.1.3 RedCap Note 2,
RLM-RS,,"1, 2",CSI-RS,,SSB,
PDSCH RMC configuration,,1,SR.3.2 TDD,,N/A,
,,2,SR.3.3 TDD,,,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,N/A,
,,2,CR.3.2 TDD,,N/A,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,N/A,
,,2,CCR.3.7 TDD,,N/A,
TRS configuration,,"1, 2",TRS.2.1 TDD,,N/A,
PDSCH/PDCCH TCI states,,"1, 2",TCI.State.2,,N/A,
PDSCH/PDCCH subcarrier spacing,kHz,"1, 2",120,,120,
OCNG Patterns,,"1, 2",OP.5,,N/A,
cellIndividualOffset,dB,1~2,N/A,,16,
CD-SSB,,1,SSB.2 RedCap FR2,,SSB.2 RedCap FR2,
,,2,SSB.4 RedCap FR2,,SSB.4 RedCap FR2,
NCD-SSB,,1,SSB.3 RedCap FR2,,SSB.3 RedCap FR2,
,,2,SSB.5 RedCap FR2,,SSB.5 RedCap FR2,
Propagation Condition,,"1, 2",No external noise (Note 3),,No external noise (Note 3),
"NOTE 1:The starting PRB index for dedicated DL BWP1 corresponding to CD-SSB PRB index; the starting PRB index for dediacted DL BWP2 corresponding to NCD-SSB PRB index;NOTE 2:The starting PRB index for dedicated UL BWP1 is the same as the starting PRB index for dedicated DL BWP1; the starting PRB index for dedicated UL BWP2 is the same as the starting PRB index for dedicated DL BWP2.NOTE 3:The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise, and has no fading or multipath effects as specified in TS 38.521-2 B.0 [38].",,,,,,
