Parameter,,Unit,Value,Comment
Active cell,,,Cell 1Cell 2,"Cell 1 is PCell on E-UTRA RF channel number 1, and cell 2 is PSCell on E-UTRA RF channel number 2"
CP length,,,Normal,
E-UTRA RF Channel Number,,,"1, 2",Two E-UTRA TDD carrier frequencies are used.
E-UTRA Channel Bandwidth (BWchannel),,MHz,"5, 10, 20",
Correlation Matrix and Antenna Configuration,,,2x2 Low,Correlation Matrix and Antenna Configuration are defined in TS 36.101 [5] Annex B.2.3.2
Out of sync transmission parameters (Note 1),DCI format,,1A,As defined in clause 5.3.3.1.3 in TS 36.212
,Number of Control OFDM symbols,,5MHz: 310MHz: 220MHz: 2,Out of sync threshold Qout and the corresponding hypothetical PDCCH/PCFICH transmission parameters are as specified in clause 7.6.1 and Table 7.6.1-1 respectively.
,Aggregation level,CCE,8,
,"A, B",,-3,
,Ratio of PDCCH to RS EPRE,dB,1,
,Ratio of PCFICH to RS EPRE,dB,1,
DRX cycle on cell 1,,ms,640,See Table A.7.3.40.1-3
DRX cycle on cell 2,,ms,40,See Table A.7.3.40.1-3
Timing offset between cell 1 and cell 2,,μs,33,For synchronous dual connectivity
Layer 3 filtering,,,Enabled,Counters:N310 = 1; N311 = 1; N313 = 1; N314 = 1
T310 timer,,ms,0,T310 is disabled
T311 timer,,ms,1000,T311 is enabled
T313 timer,,ms,0,T313 is disabled
Periodic CQI reporting mode,,,PUCCH 1-0,As defined in table 7.2.2-1 in TS 36.213.
CQI reporting periodicity,,ms,1,Minimum CQI reporting periodicity
T1,,s,4,
T2,,s,1.6,
T3,,s,1.8,
Note 1: PDCCH/PCFICH corresponding to the out of sync transmission parameters need not be included in the Reference Measurement Channel.,,,,
