Parameter,,Unit,Value,Comment
Active cell,,,Cell 1,Cell 1 is on E-UTRA RF channel number 1
CP length,,,Normal,
Out of sync transmission parameters (Note 1),DCI format,,6-1A,As defined in section 5.3.3.1.12 in TS 36.212
,Number of OFDM symbols for legacy control channels,,2,Out of sync threshold Qout and the corresponding hypothetical MPDCCH transmission parameters are as specified in section 7.19.2 and Table 7.19.2-3 respectively.
,M-PDCCH aggregation level,eCCE,24,
,M-PDCCH repetition level,,8,
,"A, B",,-3,
DRX,,,OFF,
Layer 3 filtering,,,Enabled,Counters:N310 = 1; N311 = 1
T310 timer,,ms,0,T310 is disabled
T311 timer,,ms,1000,T311 is enabled
Periodic CQI reporting mode,,,PUCCH 1-0,As defined in table 7.2.2-1 in TS 36.213.
CQI reporting periodicity,,ms,20,Minimum CQI reporting periodicity
T1,,s,2,
T2,,s,0.8,
T3,,s,1.8,
Note 1: MPDCCH transmission parameters corresponding to the in-sync and out of sync transmission need not be included in the Reference Measurement Channel.,,,,
