Parameter,Unit,Test 3,,,Test 4,,
,,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,1,,
BWchannel,MHz,10,,,10,,
Correlation Matrix and Antenna Configuration,,1x2 Low,,,2x2 Low,,
Special subframe configurationNote1,,6,,,6,,
Uplink-downlink configurationNote2,,1,,,1,,
OCNG Pattern defined in A.3.2.2 (TDD),,OP.2 TDD,,,OP.2 TDD,,
"A, B",,0,,,-3,,
PCFICH_RB,dB,4,,,1,,
PDCCH_RA,dB,4,,,1,,
PDCCH_RB,dB,4,,,1,,
PBCH_RA,dB,0,,,-3,,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote 3,dB,,,,,,
OCNG_RBNote 3,dB,,,,,,
SNR Note 8,dB,-1.4,-5.3,-11.3,-2.3,-5.9,-11.9
,dBm/15 kHz,-98,,,-98,,
Propagation condition,,ETU 70 Hz,,,ETU 70 Hz,,
"Note 1: For the special subframe configuration see table 4.2-1 in TS 36.211.Note 2: For the uplink-downlink configuration see table 4.2-2 in TS 36.211.Note 3:OCNG shall be used such that the resources in cell # 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:The uplink resources for CQI reporting are assigned to the UE prior to the start of time period T1.Note 5:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.Note 6:   The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 7:   SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 8:    The SNR in time periods T1, T2 and T3 is denoted as SNR1, SNR2 and SNR3 respectively in figure A.7.3.3.1-1.",,,,,,,
