Field,Value,Comment
srsBandwidthConfiguration,Bw5,
srsSubframeConfiguration,sc3,Once every 5 subframes
ackNackSrsSimultaneousTransmission,FALSE,
srsMaxUpPTS,N/A,
srsBandwidth,bw0,No hopping
srsHoppingBandwidth,hbw0,
frequencyDomainPosition,0,
Duration,TRUE,Indefinite duration
Srs-ConfigurationIndex,15,SRS periodicity of 10ms.
transmissionComb,0,
cyclicShift,cs0,No cyclic shift
SRS-AntennaPort,an1,Number of antenna ports used for SRS transmission
Note 1:For further information see clause 6.3.2 in TS 36.331.,,
