Parameter,Unit,Test 2,,
,,T1,T2,T3
E-UTRA RF Channel Number,,1,,
BWchannel,MHz,10,,
Special subframe configuration Note 1,,6,,
Uplink-downlink configuration Note 1,,1,,
PCFICH/PDCCH/PHICH parameters defined in section A.3.1.2.2,,R.7 TDD,,
OCNG Pattern defined in A.3.2.2 (TDD),,OP.2 TDD,,
"A, B",,-3,,
PCFICH_RB,dB,1,,
PDCCH_RA,dB,4,,
PDCCH_RB,dB,4,,
PBCH_RA,dB,-3,,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
PHICH_RA,dB,,,
PHICH_RB,dB,,,
PDSCH_RA,dB,,,
PDSCH_RB,dB,,,
OCNG_RANote2,dB,,,
OCNG_RBNote2,dB,,,
,dBm/15 kHz,-98,,
SNR Note 7,dB,-5.6,-9.6,-13.6
Propagation condition,,AWGN,,
Correlation Matrix and Antenna Configuration,,2x1,,
"Note 1:For special subframe and uplink-downlink configurations see Tables 4.2-1 and 4.2-2 in TS 36.211.Note 2:OCNG shall be used such that the resources in cell # 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 3:The uplink resources for CQI reporting are assigned to the UE prior to the start of time period T1.Note 4:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.Note 5:The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 6:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 7:The SNR in time periods T1, T2 and T3 is denoted as SNR1, SNR2 and SNR3 respectively in figure A.7.3.36.1-1.",,,,
