Parameter,,Unit,Value,Comment
,,,Test 1,
Active cell,,,Cell 1,Cell 1 is on E-UTRA RF channel number 1
E-UTRA RF Channel Number,,,1,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),,MHz,10,
CP length,,,Normal,
In sync transmission parameters(Note 1),DCI format,,1C,As defined in clause 5.3.3.1.4 in TS 36.212
,Number of Control OFDM symbols,,2,In sync threshold Qin and the corresponding hypothetical PDCCH/PCFICH transmission parameters are as specified in clause 7.11.1 and Table 7.11.1-2 respectively.
,Aggregation level,CCE,4,
,"A, B",,-3,
,Ratio of PDCCH to RS EPRE,dB,1,
,Ratio of PCFICH to RS EPRE,dB,1,
Out of sync transmission parameters(Note 1),DCI format,,1A,As defined in clause 5.3.3.1.3 in TS 36.212
,Number of Control OFDM symbols,,2,Out of sync threshold Qout and the corresponding hypothetical PDCCH/PCFICH transmission parameters are as specified in clause 7.11.1 and Table 7.11.1-1 respectively.
,Aggregation level,CCE,8,
,"A, B",,-3,
,Ratio of PDCCH to RS EPRE,dB,4,
,Ratio of PCFICH to RS EPRE,dB,1,
DRX,,,OFF,
Layer 3 filtering,,,Enabled,Counters:N310 = 1; N311 = 1
T310 timer,,ms,2000,T310 is enabled
T311 timer,,ms,1000,T311 is enabled
Periodic CQI reporting mode,,,PUCCH 1-0,As defined in table 7.2.2-1 in TS 36.213.
CQI reporting periodicity,,ms,1,Minimum CQI reporting periodicity
T1,,s,0.5,
T2,,s,0.4,
T3,,s,1.46,
T4,,s,0.4,
T5,,s,1,
Note 1:PDCCH/PCFICH corresponding to the in-sync and out of sync transmission parameters need not be included in the Reference Measurement Channel.,,,,
