Parameter,Unit,Cell1,,,,
,,T1,T2,T3,T4,T5
E-UTRA RF Channel Number,,1,,,,
Serving/Non-serving,,Serving,,,,
BWchannel Note 5,MHz,5,,,,
Correlation Matrix and Antenna Configuration,,1x2 Low,,,,
drx-Configuration,,DRX_P1As specified in Table A.3.12.2-1,,,,
"PDCCH/PCFICH/PHICH Reference measurement channelNote1, Note 5",,R.11 FDD,,,,
OCNG Pattern defined in A.3.2.1,,OP.16 FDD,,,,
PCFICH_RB,dB,0,,,,
PDCCH_RA,dB,,,,,
PDCCH_RB,dB,,,,,
PBCH_RA,dB,,,,,
PBCH_RB,dB,,,,,
PSS_RA,dB,,,,,
SSS_RA,dB,,,,,
PHICH_RA,dB,,,,,
PHICH_RB,dB,,,,,
PDSCH_RA,dB,,,,,
PDSCH_RB,dB,,,,,
OCNG_RANote1,dB,,,,,
OCNG_RBNote1,dB,,,,,
,dBm/15 kHz,-97,,,,
,dB,10.5,1.5,1.5,1.5,1.5
RSRP Note4,dBm/15 kHz,-86.5,-95.5,-95.5,-95.5,-95.5
Propagation condition,,AWGN,,,,
"Note 1:For the reference measurement channels, see clause A.3.1.Note 2:For the OCNG pattern, see clause A.3.2.Note 3:OCNG shall be used such that cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 5: This test is according to the principle defined in section A.3.12.3.",,,,,,
