Parameter,Unit,Value,
,,Test 1,Test 2
RF Channel Number,,1,1
BWchannel,kHz,200,200
PRB location within eCell,,eCell1 BWchannel 5MHz: 17eCell1 BWchannel 10MHz: 30,eCell1 BWchannel 5MHz: 17eCell1 BWchannel 10MHz: 30
NPDSCH parameter,,eCell1 BWchannel 5MHz: R.17 HD-FDD eCell1 BWchannel 10MHz: R.15 HD-FDD,eCell1 BWchannel 5MHz: R.17 HD-FDD eCell1 BWchannel 10MHz: R.15 HD-FDD
NPDCCH parameter,,eCell1 BWchannel 5MHz: R.41 HD-FDDeCell1 BWchannel 10MHz: R.29 HD-FDD,eCell1 BWchannel 5MHz: R.41 HD-FDDeCell1 BWchannel 10MHz: R.29 HD-FDD
NPBCH_RA,dB,-3,-3
NPBCH_RB,,,
NPSS_RA,,,
NSSS_RA,,,
NPDCCH_RA,,,
NPDCCH_RB,,,
NPDSCH_RA,,,
NPDSCH_RB,,,
NOCNG_RA Note1,,,
NOCNG_RB Note1,,,
,dBm/15 kHz,Specified in Table A.7.1.18.1-3,Specified in Table A.7.1.18.1-3
,dB,-11,-11
,dB,-11,-11
Antenna Configuration,,2x1,2x1
Propagation condition,-,AWGN,AWGN
Note 1NOCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
