Parameter,Unit,nCell 1,,,,,,
,,T1,dT,T2,dT,T3,dT,T4
BWchannel,kHz,180,,,,,,
PRB location within eCell,,eCell 1 BWchannel 5MHz: 17eCell 1 BWchannel 10MHz: 30,,,,,,
NPDCCH parameters as defined in A.3.1.6.1,,R.29 HD-FDD,,,,,,
NPBCH_RA,dB,-3,,,,,,
NPBCH_RB,dB,,,,,,,
NPSS_RA,dB,,,,,,,
NSSS_RA,dB,,,,,,,
NPDCCH_RA,dB,,,,,,,
NPDCCH_RB,dB,,,,,,,
NPDSCH_RA,dB,,,,,,,
NPDSCH_RB,dB,,,,,,,
OCNG_RANote 1,dB,,,,,,,
OCNG_RBNote 1,dB,,,,,,,
,dBm/15 kHz,Specified in Table A.7.3.61.1-2A,,,,,,
"SNR Note 4, 5",dB,-6.3,Note 6,-11.4,Note 7,-17.4,Note 8,-6.3
Propagation condition,,AWGN,,,,,,
Antenna Configuration,,2x1,,,,,,
"Note 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. The OCNG pattern is chosen during the test according to the presence of a DL reference measurement channel.Note 2:VoidNote 3:VoidNote 4:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 5:The SNRs in time periods T1, T2, T3 and T4 are denoted as SNR1, SNR2, SNR3 and SNR1 respectively in figure A.7.3.61.1-1.Note 6:The Test system shall reduce its transmit power in steps of ((SNR2-SNR1) / (10*dT)) dB every 100ms until SNR2 is achieved at the end of dT.Note 7:The Test system shall reduce its transmit power in steps of ((SNR3-SNR2) / (10*dT)) dB every 100ms until SNR3 is achieved at the end of dT.Note 8:The Test system shall increase its transmit power in steps of ((SNR1-SNR3) / (10*dT)) dB every 100ms until SNR1 is achieved at the end of dT.",,,,,,,,
