Parameter,Unit,Cell 1,,,,,,,,,Cell 2,,,,
,,T1,T2,,T3,,T4,,T5,,T1,T2,T3,T4,T5
E-UTRA RF Channel Number,,1,,,,,,,,,1,,,,
BWchannel,MHz,10,,,,,,,,,10,,,,
Correlation Matrix and Antenna Configuration,,2x2 Low,,,,,,,,,2x2 Low,,,,
Special subframe configurationNote1,,6,,,,,,,,,6,,,,
Uplink-downlink configurationNote2,,1,,,,,,,,,1,,,,
OCNG Pattern defined in A.3.2.2 (TDD),,OP.2 TDD,,,,,,,,,OP.6 TDD,,,,
"A, B",,-3,,,,,,,,,-3,,,,
PCFICH_RB,dB,1,,,,,,,,,Non-ABS and ABS subframe channel powers defined in Table A.3.4.2.2-2.,,,,
PDCCH_RA,dB,-3,,,,,,,,,,,,,
PDCCH_RB,dB,-3,,,,,,,,,,,,,
PBCH_RA,dB,-3,,,,,,,,,,,,,
PBCH_RB,dB,,,,,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,,,,,
"SNR Note 8,9",dB,-1.3,,-5.4,,-12.4,,-7.3,,-1.3,5,,,,
,dBm/15 kHz,-98,,,,,,,,,-98,,,,
Propagation condition,,ETU30,,,,,,,,,ETU30,,,,
"Note 1:For the special subframe configuration see table 4.2-1 in TS 36.211.Note 2: For the uplink-downlink configuration see table 4.2-2 in TS 36.211.Note 3:OCNG shall be used such that the resources in Cell 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:The uplink resources for CQI reporting are assigned to the UE prior to the start of time period T1.Note 5:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.Note 6:The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 7:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 8:The SNR in time periods T1, T2, T3, T4 and T5 of the active cell is denoted as SNR1, SNR2, SNR3, SNR4 and SNR5 respectively in figure A.7.3.16.1-1.Note 9:The SNR values are specifed for testing a UE which supports 2RX on at least one band. For testing of a UE which supports 4RX on all bands, the SNR during T3 and T4 is modified as specified in section A.3.8.1.",,,,,,,,,,,,,,,
