Parameter,Unit,Test 1,,
,,T1,T2,T3
E-UTRA RF Channel Number,,1,,
BWchannel,MHz,5:10,,
MPDCCH parameters as defined in A.3.1.3.4,,R.19 FDD,,
OCNG Pattern defined in A.3.2.1.1 (FDD),,5MHz: OP.22 FDD10MHz: OP.21 FDD,,
"A, B",,-3,,
MPDCCH_RA,dB,0,,
MPDCCH_RB,dB,0,,
PBCH_RA,dB,-3,,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
OCNG_RANote 1,dB,,,
OCNG_RBNote 1,dB,,,
,dBm/15 kHz,-98,,
SNR Note 5,dB,-10,-16.8,-22.8
Propagation condition,,ETU 30Hz,,
Correlation Matrix and Antenna Configuration,,2x1 Low,,
"Note 1:OCNG shall be used such that the resources in cell # 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.Note 3:The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 4:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 5:The SNR in time periods T1, T2 and T3 is denoted as SNR1, SNR2 and SNR3 respectively in figure A.7.3.99.1-1.",,,,
