Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,"1, 2",One E-UTRA FDD carrier frequency and One E-UTRA TDD carrier frequency are used.
Active cell,,,"Cell 1, Cell 2","Cell 1 is PCell on E-UTRA FDD RF channel number 1, and cell 2 is PSCell on E-UTRA TDD RF channel number 2"
CP length,,,Normal,
In sync transmission parameters(Note 1),DCI format,,1C,As defined in clause 5.3.3.1.4 in TS 36.212
,Number of Control OFDM symbols,,2,For 10MHz and 20MHz channel BW
,Number of Control OFDM symbols,,3,For 5MHz channel BW
,Aggregation level,CCE,4,In sync threshold Qin and the corresponding hypothetical PDCCH/PCFICH transmission parameters are as specified in clause 7.6.1 and Table 7.6.1-2 respectively.
,"A, B",,0,
,Ratio of PDCCH to RS EPRE,,0,
,Ratio of PCFICH to RS EPRE,,4,
Out of sync transmission parameters(Note 1),DCI format,,1A,As defined in clause 5.3.3.1.3 in TS 36.212
,Number of Control OFDM symbols,,2,For 10MHz and 20MHz channel BW
,Number of Control OFDM symbols,,3,For 5MHz channel BW
,Aggregation level,CCE,8,Out of sync threshold Qout and the corresponding hypothetical PDCCH/PCFICH transmission parameters are as specified in clause 7.6.1 and Table 7.6.1-1 respectively.
,"A, B",,0,
,Ratio of PDCCH to RS EPRE,dB,4,
,Ratio of PCFICH to RS EPRE,dB,4,
DRX cycle on Cell 1,,ms,640,See Table A.7.3.41.1-3
DRX cycle on Cell 2,,ms,40,See Table A.7.3.41.1-3
Layer 3 filtering,,,Enabled,"Counters:N310 = 1; N311 = 1, N313 = 1, N314 = 1"
T310 timer,,ms,2000,T310 is enabled
T311 timer,,ms,1000,T311 is enabled
T313 timer,,ms,2000,T313 is enabled
Periodic CQI reporting mode,,,PUCCH 1-0,As defined in table 7.2.2-1 in TS 36.213.
T1,,s,4,
T2,,s,1.6,
T3,,s,1.46,
T4,,s,0.4,
T5,,s,4,
Note 1: PDCCH/PCFICH corresponding to the in-sync and out of sync transmission parameters need not be included in the Reference Measurement Channel.Note 2:Even a UE capable of both synchronous and asynchronous DC operations is required to pass this test case in accordance with the principle defined in section A.3.11.,,,,
