Parameter,Unit,Value,
,,T1,T2
E-UTRA RF Channel Number,,1,
BWchannel,MHz,10,
PDSCH parameters:DL Reference Measurement Channel,,R.16 TDD,
MPDCCH parameters:DL Reference Measurement Channel,,R.14 TDD,
Special subframe configurationNote1,,6,
Uplink-downlink configurationNote2,,1,
OCNG Patterns defined in A.3.2.2.11,,OP.11 TDD,
PBCH_RA,dB,0,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
MPDCCH_RA,dB,,
MPDCCH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote3,dB,,
OCNG_RBNote3,dB,,
Timing Advance Command (TA),,31,39
,dB,3,
,dBm/15 KHz,-98,
,dB,3,
IoNote4,dBm/9 MHz,-65.5,
Propagation Condition,,AWGN,
Note 1:For the special subframe configuration see table 4.2-1 in TS 36.211.Note 2:For the uplink-downlink configuration see table 4.2-2 in TS 36.211.Note 3:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:Io level has been derived from other parameters for information purpose. It is not a settable parameter.,,,
