Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,2,,
BWchannel,MHz,"5, 10, 20",,,"5, 10, 20",,
Correlation Matrix and Antenna Configuration,,2x2 Low,,,2x2 Low,,
Special subframe configurationNote1,,6,,,6,,
Uplink-downlink configurationNote2,,1,,,1,,
PCFICH/PDCCH/PHICH parametersNone of the PDCCH are intended for the UE under test,,5MHz: R.12 TDD10MHz: R.7 TDD20MHz: R.13 TDD,,,5MHz: R.12 TDD10MHz: R.7 TDD20MHz: R.13 TDD,,
OCNG Pattern,,5MHz: OP.10 TDD10MHz: OP.2 TDD20MHz: OP.8 TDD,,,5MHz: OP.10 TDD10MHz: OP.2 TDD20MHz: OP.8 TDD,,
"A, B",,-3,,,-3,,
PCFICH_RB,dB,1,,,1,,
PDCCH_RA,dB,1,,,1,,
PDCCH_RB,dB,1,,,1,,
PBCH_RA,dB,-3,,,-3,,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote3,dB,,,,,,
OCNG_RBNote3,dB,,,,,,
"SNR Note 8,9 (5MHz bandwidth)",dB,-1.6,-1.6,-1.6,-1.6,-5.2,-11.9
"SNR Note 8,9 (10MHz bandwidth)",dB,-2.3,-2.3,-2.3,-2.3,-5.9,-11.9
"SNR Note 8,9 (20MHz bandwidth)",dB,-3.0,-3.0,-3.0,-3.0,-6.6,-12.6
,dBm/15 kHz,-98,,,-98,,
Propagation condition,,ETU 70 Hz,,,ETU 70 Hz,,
Time offset to cell1,μs,-,,,33,,
"Note 1:For the special subframe configuration see table 4.2-1 in TS 36.211.Note 2:For the uplink-downlink configuration see table 4.2-2 in TS 36.211.Note 3:OCNG shall be used such that the resources in cell # 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:The uplink resources for CQI reporting are assigned to the UE prior to the start of time period T1.Note 5:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.Note 6:The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 7:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 8:The SNR in time periods T1, T2 and T3 is denoted as SNR1, SNR2 and SNR3 respectively in figure A.7.3.40.1-1. Note 9:The SNR values are specifed for testing a UE which supports 2RX on the PSCell frequency. For testing of a UE which only supports 4RX on the PSCell frequency, the SNR during T3 is modified as specified in section A.3.8.1.",,,,,,,
