Parameter,,Unit,Value,,,,Comment
,,,Test 1,Test 2,Test 3,Test 4,
PCFICH/PDCCH/PHICH parameters,,,R.6 TDD,R.7 TDD,R.6 TDD,R.7 TDD,As specified in clause A.3.1.2.2. None of the PDCCH are intended for the UE under test
OCNG parameters,,,OP.2 TDD,OP.2 TDD,OP.2 TDD,OP.2 TDD,As specified in clause A.3.2.2.2.
Active cell,,,Cell 1,Cell 1,Cell 1,Cell 1,Cell 1 is on E-UTRA RF channel number 1
CP length,,,Normal,Normal,Normal,Normal,
E-UTRA RF Channel Number,,,1,1,1,1,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),,MHz,10,10,10,10,
Correlation Matrix and Antenna Configuration,,,1x2,2x2,1x2 Low,2x2 Low,Correlation Matrix and Antenna Configuration are defined in TS 36.101 [5] Annex B.2.3.2
Out of sync transmission parameters (Note 1),DCI format,,1A,1A,1A,1A,As defined in clause 5.3.3.1.3 in TS 36.212
,Number of Control OFDM symbols,,2,2,2,2,Out of sync threshold Qout and the corresponding hypothetical PDCCH/PCFICH transmission parameters are as specified in clause 7.6.1 and Table 7.6.1-1 respectively.
,Aggregation level,CCE,8,8,8,8,
,"A, B",,0,-3,0,-3,
,Ratio of PDCCH to RS EPRE,dB,4,1,4,1,
,Ratio of PCFICH to RS EPRE,dB,4,1,4,1,
DRX,,,OFF,OFF,OFF,OFF,
Layer 3 filtering,,,Enabled,Enabled,Enabled,Enabled,Counters:N310 = 1; N311 = 1
T310 timer,,ms,0,0,0,0,T310 is disabled
T311 timer,,ms,1000,1000,1000,1000,T311 is enabled
Periodic CQI reporting mode,,,PUCCH 1-0,PUCCH 1-0,PUCCH 1-0,PUCCH 1-0,As defined in table 7.2.2-1 in TS 36.213.
CQI reporting periodicity,,ms,1,1,1,1,Minimum CQI reporting periodicity
Propagation channel,,,AWGN,AWGN,ETU 70 Hz,ETU 70 Hz,.
T1,,s,1,1,1,1,
T2,,s,0.4,0.4,0.4,0.4,
T3,,s,0.5,0.5,0.5,0.5,
Note 1: PDCCH/PCFICH corresponding to the out of sync transmission parameters need not be included in the Reference Measurement Channel.,,,,,,,
