Parameter,Unit,Value,Comment
NB-IoT operational mode,,Guardband,
Active cell,,nCell 1,
CP length,,Normal,
NB-IoT RF Channel Number,,1,One NB-IoT carrier frequency
NPDCCH repetition level Rmax,,16,Other NPDCCH parameters are defined in “ out-of-sync” column in Table 7.23.2-1
DRX,,OFF,
Layer 3 filtering Note 2,,Enabled,Counters:N310 = 1N311 = 1
T310 timer Note 2,ms,0,T310 is disabled
T311 timer Note 2,ms,3000,T311 is enabled
T1,s,2,
dT,s,0.7,
T2,s,0.4,
dT,s,0.8,
T3,s,0.5,
dT,s,1.4,
T4,s,0.4,
"Note 1:NPDCCH corresponding to the out of sync transmission parameters need not be included in the Reference Measurement Channel.Note 2:N310, N311, T310 and T311 are defined in TS 36.331.Note 3:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.",,,
