Parameter,,Unit,Cell 1 (PCell),Cell 2 (PSCell),,,,
,,,T1 ~ T5,T1,T2,T3,T4,T5
E-UTRA RF Channel Number,,,1,2,,,,
E-UTRA Channel Bandwidth (BWchannel),,MHz,"5, 10, 20","5, 10, 20",,,,
PCFICH/PDCCH/PHICH parameters.None of the PDCCH are intended for the UE under test.,,,5MHz: R.11 FDD10MHz: R.6 FDD20MHz: R.10 FDD,5MHz: R.11 FDD10MHz: R.6 FDD20MHz: R.10 FDD,,,,
OCNG Pattern,,,5MHz: OP.16 FDD10MHz: OP.2 FDD20MHz: OP.12 FDD,5MHz: OP.16 FDD10MHz: OP.2 FDD20MHz: OP.12 FDD,,,,
"A, B",,,0,0,,,,
PCFICH_RB,,dB,4,4,,,,
PDCCH_RA,,dB,0,0,,,,
PDCCH_RB,,dB,0,0,,,,
PBCH_RA,,dB,0,0,,,,
PBCH_RB,,dB,,,,,,
PSS_RA,,dB,,,,,,
SSS_RA,,dB,,,,,,
PHICH_RA,,dB,,,,,,
PHICH_RB,,dB,,,,,,
PDSCH_RA,,dB,,,,,,
PDSCH_RB,,dB,,,,,,
OCNG_RANote1,,dB,,,,,,
OCNG_RBNote1,,dB,,,,,,
"SNR Note 6,8",5MHz BWchannel,dB,-2.3,-2.3,-5.7,-12.2,-7.3,-2.3
,10MHz BWchannel,dB,-4.7,-4.7,-9.5,-13.5,-8.7,-4.7
,20MHz BWchannel,dB,-4.7,-4.7,-9.5,-13.5,-8.7,-4.7
,,dBm/15 kHz,-98,,,,,
Propagation condition,,,AWGN,,,,,
Receive time offset to cell1 Note 7,,μs,-,500,,,,
"Note 1:OCNG shall be used such that the resources in cell 1 and cell 2 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The uplink resources for CQI reporting are assigned to the UE prior to the start of time period T1.Note 3:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.Note 4:The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 5:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 6:The SNR of cell 2 in time periods T1, T2, T3, T4 and T5 is denoted as SNR1, SNR2, SNR3, SNR4 and SNR5 respectively in figure A.7.3.6.1-1.Note 7:Receive time difference between subframe boundaries of signals received from the two cells at the UE antenna connector including time alignment error between the two cells.Note 8:The SNR values are specifed for testing a UE which supports 2RX on the PSCell frequency. For testing of a UE which only supports 4RX on the PSCell frequency, the SNR during T3 and T4 is modified as specified in section A.3.8.1.",,,,,,,,
