Parameter,,Unit,Value,Comment
Active cell,,,Cell 1,Cell 1 is on E-UTRA RF channel number 1
CP length,,,Normal,
Out of sync transmission parameters (Note 1),DCI format,,6-1A,As defined in section 5.3.3.1.12 in TS 36.212
,Number of OFDM symbols for legacy control channels,,2,"Out of sync threshold Qout, Cat M1 and the corresponding hypothetical MPDCCH transmission parameters are as specified in clause 7.19.2 and Table 7.19.2-1 respectively."
,MPDCCH aggregation level,eCCE,16,
,MPDCCH repletion level,,2,
,"A, B",,-3,
,Ratio of MPDCCH to RS EPRE,dB,0,
DRX cycle,,ms,1280,See Table A.7.3.80.1-3
Layer 3 filtering,,,Enabled,Counters:N310 = 1; N311 = 1
T310 timer,,ms,0,T310 is disabled
T311 timer,,ms,1000,T311 is enabled
Periodic CQI reporting mode,,,PUCCH 1-0,As defined in table 7.2.2-1 in TS 36.213.
CQI reporting periodicity,,ms,1,Minimum CQI reporting periodicity
T1,,s,32,
T2,,s,12.8,
T3,,s,13,
Note 1:MPDCCH corresponding to the out of sync transmission parameters need not be included in the Reference Measurement Channel.,,,,
