Field,Value,Comment
srsBandwidthConfiguration,bw5,
srsSubframeConfiguration,Sc8,Once every 5 subframes
ackNackSrsSimultaneousTransmission,FALSE,
srsMaxUpPTS,N/A,Not applicable for E-UTRAN FDD
srsBandwidth,0,No hopping
srsHoppingBandwidth,hbw0,
frequencyDomainPosition,0,
Duration,TRUE,Indefinite duration
Srs-ConfigurationIndex,47,SRS periodicity of 40ms.
transmissionComb,0,
cyclicShift,cs0,No cyclic shift
SRS-AntennaPort,an1,Number of antenna ports used for SRS transmission
Note:For further information see clause 6.3.2 in TS 36.331.,,
