Parameter,,Unit,Value,Comment
NB-IoT operational mode,,,In-band,
Active cell,,,nCell 1,NB-IOT cell nCell1 is within E-UTRA cell eCell1
CP length,,,Normal,
In sync transmission parameters(Note 1),DCI format,,Format N1,As defined in TS 36.212 [21]
,Number of OFDM symbols for legacy control channels,,3,In sync threshold Qin_NB-IoT and the corresponding hypothetical NPDCCH transmission parameters are as specified in clause 7.23.2 and Table 7.23.2-1 respectively.
,NPDCCH aggregation level,eCCE,2,
,NPDCCH repetition level,,2,
,Ratio of NPDSCH to NRS EPRE,,0,
,Ratio of NPDCCH to NRS EPRE,,0,
Out of sync transmission parameters(Note 1),DCI format,,Format N1,As defined in TS 36.212[21]
,Number of OFDM symbols for legacy control channels,,3,Out of sync threshold Qout_NB-IoT and the corresponding hypothetical NPDCCH transmission parameters are as specified in clause 7.23.2 and Table 7.23.2-1 respectively.
,NPDCCH aggregation level,eCCE,2,
,NPDCCH repetition level,,8,
,Ratio of NPDSCH to NRS EPRE,,0,
,Ratio of NPDCCH to RS EPRE,dB,0,
DRX cycle,,ms,256,See Table A.7.3.63.1-4
Layer 3 filtering,,,Enabled,Counters:N310 = 1; N311 = 1
T310 timer,,ms,4000,T310 is enabled
T311 timer,,ms,1000,T311 is enabled
T1,,s,4,
dT,,s,1.4,
T2,,s,2.12,
dT,,s,1.4,
T3,,s,4,
Note 1: NPDCCH corresponding to the in-sync and out of sync transmission parameters need not be included in the Reference Measurement Channel.,,,,
