Parameter,Unit,Test 1,,,,
,,T1,T2,T3,T4,T5
E-UTRA RF Channel Number,,1,,,,
BWchannel,MHz,10,,,,
Antenna Configuration,,1x2,,,,
OCNG Pattern defined in A.3.2.1 (FDD),,OP.2 FDD,,,,
"A, B",,0,,,,
PCFICH_RB,dB,4,,,,
PDCCH_RA,dB,0,,,,
PDCCH_RB,dB,0,,,,
PBCH_RA,dB,0,,,,
PBCH_RB,dB,,,,,
PSS_RA,dB,,,,,
SSS_RA,dB,,,,,
PHICH_RA,dB,,,,,
PHICH_RB,dB,,,,,
PDSCH_RA,dB,,,,,
PDSCH_RB,dB,,,,,
OCNG_RANote1,dB,,,,,
OCNG_RBNote1,dB,,,,,
"SNR Note 6,7",dB,-4.7,-9.5,-13.5,-8.7,-4.7
,dBm/15 kHz,-98,,,,
Propagation condition,,AWGN,,,,
"Note 1:OCNG shall be used such that the resources in cell # 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The uplink resources for CQI reporting are assigned to the UE prior to the start of time period T1.Note 3:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.Note 4:The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 5:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 6:The SNR in time periods T1, T2, T3, T4 and T5 is denoted as SNR1, SNR2, SNR3, SNR4 and SNR5 respectively in figure A.7.3.6.1-1.Note 7:The SNR values are specifed for testing a UE which supports 2RX on at least one band. For testing of a UE which supports 4RX on all bands, the SNR during T3 and T4 is modified as specified in section A.3.8.1.",,,,,,
