Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,1,,
BWchannel,MHz,10,,,10,,
Correlation Matrix and Antenna Configuration,,2x2 Low,,,2x2 Low,,
OCNG Pattern defined in A.3.2.1 (FDD),,OP.6 FDD,,,OP.9 FDD,,
"A, B",,-3,,,-3,,
PCFICH_RB,dB,1,,,Non-ABS and ABS subframe channel powers defined in Table A.3.4.2.2-1.,,
PDCCH_RA,dB,1,,,,,
PDCCH_RB,dB,1,,,,,
PBCH_RA,dB,-3,,,,,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote1,dB,,,,,,
OCNG_RBNote1,dB,,,,,,
"SNR Note 6,7",dB,-1.3,-5.4,-12.4,5,,
,dBm/15 kHz,-98,,,-98,,
Propagation condition,,ETU 30 Hz,,,ETU 30 Hz,,
"Note 1:OCNG shall be used such that the resources in cell # 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The uplink resources for CQI reporting are assigned to the UE prior to the start of time period T1.Note 3:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.Note 4:The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 5:SNR levels correspond to the signal quality, signal-to-interference-plus-noise ratio, on the CRS REs.Note 6:The SNR in the restricted measurement subframes during time periods T1, T2 and T3 is denoted as SNR1, SNR2 and SNR3 respectively in figure A.7.3.13.1-1. Note 7:The SNR values are specifed for testing a UE which supports 2RX on at least one band. For testing of a UE which supports 4RX on all bands, the SNR during T3 is modified as specified in section A.3.8.1.",,,,,,,
