Parameter,,Unit,Cell 1,,,
,,,T1,T2,T3,
E-UTRA RF Channel Number,,,1,,,
BWchannel Note 4,,MHz,5 or 10,,,
UE RRC state,,,IDLE,CONNECTED,,
Paging configuration,defaultPagingCycle,,rf256,N/A,,
,nB,,T / 32,,,
DRX,,,N/A,OFF,,
"PDSCH Reference measurement channel defined in A.3.1.1.1Note1, Note 4",,,N/A,None,R.7 FDD (5MHz)orR.3 FDD (10MHz)(Note 5 applies),
"PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.1Note1, Note 4",,,5 MHz: R.11 FDD10 MHz: R.6 FDD,,,
OCNG Pattern Note 4,,,5 MHz: OP.19 FDD10 MHz: OP.6 FDD,,,OP.20 FDD (5MHz)orOP.10 FDD(10MHz)
PBCH_RA,,dB,0,,,
PBCH_RB,,,,,,
PSS_RA,,,,,,
SSS_RA,,,,,,
PCFICH_RB,,,,,,
PHICH_RA,,,,,,
PHICH_RB,,,,,,
PDCCH_RA,,,,,,
PDCCH_RB,,,,,,
PDSCH_RA,,,,,,
PDSCH_RB,,,,,,
OCNG_RANote 1,,,,,,
OCNG_RBNote 1,,,,,,
Note2,,dBm/15 kHz,-98,,,
,,dB,16,,,
RSRP Note3,,dBm/15 kHz,-82,,,
SCH_RP Note 3,,dBm/15 kHz,-82,,,
Propagation Condition,,,AWGN,,,
Note 1:OCNG shall be used such that cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4: This test is according to the principle defined in section A.3.12.3.Note 5: The PDSCH scheduled subframes for R.7 FDD (5MHz) / R.3 FDD (10MHz) is changed as per the following bitmap that repeats every 40ms.PDSCH scheduled subframe bitmap: {01110111 11110111 11110111 11110111 11110110}.,,,,,,
