Parameter,Unit,Test 1,,
,,T1,T2,T3
E-UTRA RF Channel Number,,1,,
BWchannel,MHz,10,,
Special subframe configuration Note 1,,6,,
Uplink-downlink configuration Note 1,,1,,
MPDCCH parameters as defined in A.3.1.3.1,,R.15 TDD Note 8,,
OCNG Pattern defined in A.3.2.2.11 (TDD),,OP.11 TDD,,
"A, B",,-3,,
PBCH_RA,dB,-3,,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
OCNG_RANote 1,dB,,,
OCNG_RBNote 1,dB,,,
,dBm/15 kHz,-98,,
SNR Note 7,dB,-0.3,-7.3,-16.3
Propagation condition,,ETU 30Hz,,
Correlation Matrix and Antenna Configuration,,2x1 Low,,
"Note 1:For special subframe and uplink-downlink configurations see Tables 4.2-1 and 4.2-2 in TS 36.211.Note 2:OCNG shall be used such that the resources in cell # 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 3:The uplink resources for CQI reporting are assigned to the UE prior to the start of time period T1.Note 4:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.Note 5:The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 6:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 7:The SNR in time periods T1, T2 and T3 is denoted as SNR1, SNR2 and SNR3 respectively in figure A.7.3.98.1-1.Note 8:Aggregation level and repetition levels specified in A.7.3.98.1-1 are used for this test.",,,,
