Parameter,,Unit,Value,Comment
PCFICH/PDCCH/PHICH parameters,,,R.9 TDD,As specified in clause A.3.1.2.2.None of the PDCCH are intended for the UE under test
Serving cell,,,Cell 1,Cell 1 is on E-UTRA RF channel number 1
Neighbour cell,,,Cell 2,Cell 2 is the aggressor cell on E-UTRA RF channel number 1
Neighbour cell ABS configuration,,,MBSFN ABS,As defined in Table A.3.4.2.2-2
OCNG parameters for Cell 1,,,OP.2 TDD,As specified in clause A.3.2.2.2.
OCNG parameters for Cell 2,,,OP.6 TDD,As specified in clause A.3.2.2.6.
CP length,,,Normal,
Neighbor cell ABS configuration,,,MBSFN  ABS,
E-UTRA RF Channel Number,,,1,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),,MHz,10,
Correlation Matrix and Antenna Configuration,,,2x2 Low,Correlation Matrix and Antenna Configuration are defined in TS 36.101 [5] Annex B.2.3.2
In sync transmission parameters(Note 1),DCI format,,1C,As defined in clause 5.3.3.1.4 in TS 36.212
,Number of Control OFDM symbols,,3,In sync threshold Qin and the corresponding hypothetical PDCCH/PCFICH transmission parameters are as specified in clause and Table 7.6.1-2 respectively.
,Aggregation level,CCE,4,
,"A, B",,-3,
,Ratio of PDCCH to RS EPRE,dB,-3,
,Ratio of PCFICH to RS EPRE,dB,1,
Out of sync transmission parameters (Note 1),DCI format,,1A,As defined in clause 5.3.3.1.3 in TS 36.212
,Number of Control OFDM symbols,,3,Out of sync threshold Qout and the corresponding hypothetical PDCCH/PCFICH transmission parameters are as specified in clause 7.6.1 and Table 7.6.1-1 respectively.
,Aggregation level,CCE,8,
,"A, B",,-3,
,Ratio of PDCCH to RS EPRE,dB,1,
,Ratio of PCFICH to RS EPRE,dB,1,
Physical cell ID PCI,,,"(PCIcell1-PCIcell2 ) mod 3 = 0, PCIcell1 not equal to PCIcell2",Cell IDs are chosen such that CRS from cells 1 and 2 overlap in frequency.
ABS pattern,,,00001000000000100000,"TDD ABS Pattern Info IE is configured in Cell 2 as defined in clause 9.2.54 in TS 36.423 [28]. The first/leftmost bit corresponds to the subframe #0 of the radio frame satisfying SFN mod x = 0, where x is the size of the bit string (20) divided by 10.All ABS subframes are MBSFN subframes."
Time domain measurement resource restriction pattern,,,00001000000000100000,MeasSubframePattern IE is configured in UE for serving cell measurement as defined in clause 6.3.6 in TS 36.331.
DRX,,,OFF,
Layer 3 filtering,,,Enabled,Counters:N310 = 1; N311 = 1
T310 timer,,ms,2000,T310 is enabled
T311 timer,,ms,1000,T311 is enabled
Periodic CQI reporting mode,,,PUCCH 1-0,As defined in table 7.2.2-1 in TS 36.213.
CQI reporting periodicity,,ms,1,Minimum CQI reporting periodicity
Time offset between cells,,s,3,
Propagation channel,,,ETU30,
T1,,s,0.5,
T2,,s,0.4,
T3,,s,1.46,
T4,,s,0.4,
T5,,s,1,
Note 1: PDCCH/PCFICH corresponding to the in-sync and out of sync transmission parameters need not be included in the Reference Measurement Channel.,,,,
