Parameter,,Unit,Cell 1,,
,,,T1,T2,T3
E-UTRA RF Channel Number,,,1,,
BWchannel,,MHz,5,,
UE RRC state,,,IDLE,CONNECTED,
Paging configuration,defaultPagingCycle,,rf256,N/A,
,nB,,T / 32,,
DRX,,,N/A,OFF,
PDSCH Reference measurement channel defined in A.3.1.1.1Note1,,,N/A,None,R.5 FDD
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.1Note1,,,R.11 FDD,,
OCNG Pattern,,,OP.16 FDD,,OP.15 FDD
PBCH_RA,,dB,0,,
PBCH_RB,,,,,
PSS_RA,,,,,
SSS_RA,,,,,
PCFICH_RB,,,,,
PHICH_RA,,,,,
PHICH_RB,,,,,
PDCCH_RA,,,,,
PDCCH_RB,,,,,
PDSCH_RA,,,,,
PDSCH_RB,,,,,
OCNG_RANote 1,,,,,
OCNG_RBNote 1,,,,,
Note2,,dBm/15 kHz,-98,,
,,dB,16,,
RSRP Note3,,dBm/15 kHz,-82,,
SCH_RP Note 3,,dBm/15 kHz,-82,,
Propagation Condition,,,AWGN,,
Note 1:OCNG shall be used such that cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,
