Parameter,Unit,Value,
,,T1,T2
E-UTRA RF Channel Number,,1,
BWchannel,KHz,200,
NPDSCH parameters:DL Reference Measurement Channel defined in A.3.1.5.3,,R.18 NB-TDD,
NPDCCH parameters:DL Reference Measurement Channel defined in A.3.1.6.3,,R.30 NB-TDD,
NOCNG Patterns defined in A.3.2.3.3,,NOP.3 TDD,
NPBCH_RA,dB,0,
NPBCH_RB,dB,,
NPSS_RA,dB,,
NSSS_RA,dB,,
NPDCCH_RA,dB,,
NPDCCH_RB,dB,,
NPDSCH_RA,dB,,
NPDSCH_RB,dB,,
NOCNG_RANote1,dB,,
NOCNG_RBNote1,dB,,
Timing Advance Command (TA),,31,39
,dB,-12,
,dBm/15 KHz,-88,
,dB,-12,
IoNote2,dBm/ 180 KHz,-76.9,
Antenna Configuration,,1x1,
Propagation Condition,,AWGN,
Note 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Io level has been derived from other parameters for information purpose. It is not a settable parameter.,,,
