Parameter,Unit,Cell 1,Cell 2
E-UTRA RF Channel Number,,1,2
Serving/Non-serving,,Serving,Non-serving
BWchannel,MHz,5,5
Correlation Matrix and Antenna Configuration,,1x2 Low,1x2 Low
drx-Configuration,,None,N/A
PDCCH/PCFICH/PHICH Reference measurement channelNote1,,R.11 FDD,R.11 FDD
PDSCH Reference measurement channel defined in A.3.1.1.1Note1,,R.7 FDD,N/A
OCNG Pattern defined in A.3.2.1,,OP.20 FDD,OP.19 FDD
PCFICH_RB,dB,0,0
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PBCH_RA,dB,,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote1,dB,,
OCNG_RBNote1,dB,,
,dB,16,16
,dBm/15 kHz,-98,-98
RSRP Note4,dBm/15 kHz,-82,-82
SCH_RP Note 4,dBm/15 kHz,-82,-82
Propagation condition,,AWGN,AWGN
"Note 1:For the reference measurement channels, see clause A.3.1.Note 2:For the OCNG pattern, see clause A.3.2.Note 3:OCNG shall be used such that cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,
