Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCHPHICH parameters,,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
E-UTRA RF Channel Number,,,1,Only one TDD carrier frequency is used.
Channel Bandwidth (BWchannel),,MHz,10,
A3-Offset,,dB,0,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
ul-SchedInterval-r14,,,sf10,As specified in section 6.3.4 in TS 36.331
ul-StartSubframe-r14,,,2,As specified in section 6.3.4 in TS 36.331
DRX,,,,OFF
CP length,,,Normal,
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211
Time offset between cells,,,3 s,Synchronous cells
T1,,s,5,
T2,,s,5,
T3,,s,1,
