Parameter,Unit,Value,
,,T1,T2
E-UTRA RF Channel Number,,1,
BWchannel,MHz,10,
PDSCH Reference Measurement Channel in clause A.3.1.4.6,,R.18 TDD,
MPDCCH Reference Measurement Channel in clause A.3.1.3.6,,R.16 TDD,
Special subframe configurationNote1,,6,
Uplink-downlink configurationNote2,,1,
OCNG Patterns defined in A.3.2.2.11,,OP.11 TDD,
PBCH_RA,dB,0,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote3,dB,,
OCNG_RBNote3,dB,,
Timing Advance Command (TA),,31,39
,dBm/15 KHz,-98,
,dB,-12,
Note4,dB,-12,
RSRP Note4,dBm/15 KHz,-110,
IoNote4,dBm/9 MHz,-69.95,
Propagation Condition,,AWGN,
Antenna Configuration,,1x1,
"Note 1:For the special subframe configuration see table 4.2-1 in TS 36.211.Note 2:For the uplink-downlink configuration see table 4.2-2 in TS 36.211.Note 3:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:, RSRP, Io level has been derived from other parameters for information purpose. It is not a settable parameter.",,,
