,I,Q,,I,Q,,I,Q,,I,Q
00000000,5,5,01000000,5,-5,10000000,-5,5,11000000,-5,-5
00000001,5,7,01000001,5,-7,10000001,-5,7,11000001,-5,-7
00000010,7,5,01000010,7,-5,10000010,-7,5,11000010,-7,-5
00000011,7,7,01000011,7,-7,10000011,-7,7,11000011,-7,-7
00000100,5,3,01000100,5,-3,10000100,-5,3,11000100,-5,-3
00000101,5,1,01000101,5,-1,10000101,-5,1,11000101,-5,-1
00000110,7,3,01000110,7,-3,10000110,-7,3,11000110,-7,-3
00000111,7,1,01000111,7,-1,10000111,-7,1,11000111,-7,-1
00001000,3,5,01001000,3,-5,10001000,-3,5,11001000,-3,-5
00001001,3,7,01001001,3,-7,10001001,-3,7,11001001,-3,-7
00001010,1,5,01001010,1,-5,10001010,-1,5,11001010,-1,-5
00001011,1,7,01001011,1,-7,10001011,-1,7,11001011,-1,-7
00001100,3,3,01001100,3,-3,10001100,-3,3,11001100,-3,-3
00001101,3,1,01001101,3,-1,10001101,-3,1,11001101,-3,-1
00001110,1,3,01001110,1,-3,10001110,-1,3,11001110,-1,-3
00001111,1,1,01001111,1,-1,10001111,-1,1,11001111,-1,-1
00010000,5,11,01010000,5,-11,10010000,-5,11,11010000,-5,-11
00010001,5,9,01010001,5,-9,10010001,-5,9,11010001,-5,-9
00010010,7,11,01010010,7,-11,10010010,-7,11,11010010,-7,-11
00010011,7,9,01010011,7,-9,10010011,-7,9,11010011,-7,-9
00010100,5,13,01010100,5,-13,10010100,-5,13,11010100,-5,-13
00010101,5,15,01010101,5,-15,10010101,-5,15,11010101,-5,-15
00010110,7,13,01010110,7,-13,10010110,-7,13,11010110,-7,-13
00010111,7,15,01010111,7,-15,10010111,-7,15,11010111,-7,-15
00011000,3,11,01011000,3,-11,10011000,-3,11,11011000,-3,-11
00011001,3,9,01011001,3,-9,10011001,-3,9,11011001,-3,-9
00011010,1,11,01011010,1,-11,10011010,-1,11,11011010,-1,-11
00011011,1,9,01011011,1,-9,10011011,-1,9,11011011,-1,-9
00011100,3,13,01011100,3,-13,10011100,-3,13,11011100,-3,-13
00011101,3,15,01011101,3,-15,10011101,-3,15,11011101,-3,-15
00011110,1,13,01011110,1,-13,10011110,-1,13,11011110,-1,-13
00011111,1,15,01011111,1,-15,10011111,-1,15,11011111,-1,-15
00100000,11,5,01100000,11,-5,10100000,-11,5,11100000,-11,-5
00100001,11,7,01100001,11,-7,10100001,-11,7,11100001,-11,-7
00100010,9,5,01100010,9,-5,10100010,-9,5,11100010,-9,-5
00100011,9,7,01100011,9,-7,10100011,-9,7,11100011,-9,-7
00100100,11,3,01100100,11,-3,10100100,-11,3,11100100,-11,-3
00100101,11,1,01100101,11,-1,10100101,-11,1,11100101,-11,-1
00100110,9,3,01100110,9,-3,10100110,-9,3,11100110,-9,-3
00100111,9,1,01100111,9,-1,10100111,-9,1,11100111,-9,-1
00101000,13,5,01101000,13,-5,10101000,-13,5,11101000,-13,-5
00101001,13,7,01101001,13,-7,10101001,-13,7,11101001,-13,-7
00101010,15,5,01101010,15,-5,10101010,-15,5,11101010,-15,-5
00101011,15,7,01101011,15,-7,10101011,-15,7,11101011,-15,-7
00101100,13,3,01101100,13,-3,10101100,-13,3,11101100,-13,-3
00101101,13,1,01101101,13,-1,10101101,-13,1,11101101,-13,-1
00101110,15,3,01101110,15,-3,10101110,-15,3,11101110,-15,-3
00101111,15,1,01101111,15,-1,10101111,-15,1,11101111,-15,-1
00110000,11,11,01110000,11,-11,10110000,-11,11,11110000,-11,-11
00110001,11,9,01110001,11,-9,10110001,-11,9,11110001,-11,-9
00110010,9,11,01110010,9,-11,10110010,-9,11,11110010,-9,-11
00110011,9,9,01110011,9,-9,10110011,-9,9,11110011,-9,-9
00110100,11,13,01110100,11,-13,10110100,-11,13,11110100,-11,-13
00110101,11,15,01110101,11,-15,10110101,-11,15,11110101,-11,-15
00110110,9,13,01110110,9,-13,10110110,-9,13,11110110,-9,-13
00110111,9,15,01110111,9,-15,10110111,-9,15,11110111,-9,-15
00111000,13,11,01111000,13,-11,10111000,-13,11,11111000,-13,-11
00111001,13,9,01111001,13,-9,10111001,-13,9,11111001,-13,-9
00111010,15,11,01111010,15,-11,10111010,-15,11,11111010,-15,-11
00111011,15,9,01111011,15,-9,10111011,-15,9,11111011,-15,-9
00111100,13,13,01111100,13,-13,10111100,-13,13,11111100,-13,-13
00111101,13,15,01111101,13,-15,10111101,-13,15,11111101,-13,-15
00111110,15,13,01111110,15,-13,10111110,-15,13,11111110,-15,-13
00111111,15,15,01111111,15,-15,10111111,-15,15,11111111,-15,-15
